,"MA","Title","First author","Last author","Abstract","OnResearchgate","DOI","rg_URL"
31,"MA1","Distribution and abundance of exotic earthworms within a boreal forest system in southcentral Alaska","Matthew L. Bowser","Roman Dial","Little is known about exotic earthworms (Oligochaeta: Lumbricidae) in Alaska outside its southeastern panhandle. This study documents the distribution of exotic earthworms in the relatively undisturbed Kenai National Wildlife Refuge (KNWR), a large, primarily wilderness refuge in southcentral Alaska. We sampled 69 sites near boat launches, along road corridors, and in low human impact areas > 5 km from the road, finding three species of earthworms (Dendrobaena octaedra, Dendrodrilus rubidus, and Lumbricus terrestris). Most road sites (90%) and boat launches (80%) contained earthworms; half (50%) of low human impact sites contained earthworms. Distance to roads was the only significant factor in predicting earthworm occurrence; soil pH, soil moisture, leaf litter depth, and vegetation cover were not. The disparate distributions of these three species suggest that within the KNWR road construction and vehicle traffic played a role in dispersal of the widespread, abundant Dendrobaena octaedra and uncommon Dendrodrilus rubidus; bait abandonment appeared to be the primary method of introduction of Lumbricus terrestris. While the distribution of harmful anecic earthworms in KNWR is currently limited, the prohibition of Lumbricus spp. as bait within conservation units in Alaska may be warranted.","Jan 2016","N/A","https://www.researchgate.net/publication/283351466_Distribution_and_abundance_of_exotic_earthworms_within_a_boreal_forest_system_in_southcentral_Alaska?_sg=r5di-abn1--vKZOPd47-1iOsJzCcaT8358gTSOQbZrCDWeBorKvdmN04fQrxD_8PVri2w5PYF4gvDfA"
32,"MA1","Effects of earthworms on nutrient dynamics, carbon turnover and microorganisms in soils from cool temperate forests of the Canadian Rocky Mountains - laboratory studies","Stefan Scheu","Dennis Parkinson","Two experiments were set up to study the effect of invasion of forest soils of the Canadian Rocky Mountains by earthworms on nutrient dynamics, carbon turnover and soil microorganisms. In the first experiment material from four soil layers of an aspen (Populus tremuloides Michx.) forest (L, F, H, Ah) and from F/H layers of a pine (Pinus contorta Loud.) forest was placed separately in laboratory systems. In this experiment the effect of Dendrobaena octaedra (Savigny) on nutrient leaching (N and P) and on carbon mineralization was monitored at regular intervals for 84 days. In addition, microbial biomass (substrate induced respiration (SIR) was determined at the end of the experiment. In the second experiment the effect of two earthworm species (D. octaedra and Octolasion lacteum (Oerley)) on nutrient leaching, carbon turnover, microbial biomass and bacterial/fungal ratio in reconstructed aspen forest floor was determined at destructive samplings after 28, 56 and 84 days of incubation. In addition, the effect of the earthworms on the composition of the fungal community in L/F layer was studied after 56 days of incubation.","Jun 1994","DOI: 10.1016/0929-1393(94)90031-0","https://www.researchgate.net/publication/248337594_Effects_of_earthworms_on_nutrient_dynamics_carbon_turnover_and_microorganisms_in_soils_from_cool_temperate_forests_of_the_Canadian_Rocky_Mountains_-_laboratory_studies?_sg=Xuer071DlIma3KBx6_motFr4DRgYYZxA7tid4p_xlGRCX6qMiL1Is6kNVYAMb04Y0_z1mnEJaJ4MiVY"
33,"MA1","Effects of invasion of an aspen forest (Canada) by Dendrobaena octaedra (Lumbricidae) on plant growth","Stefan Scheu","Dennis Parkinson","Effects of invasion of an aspen forest in the Canadian Rocky Mountains by the earthworm Dendrobaena octaedra (Savigny) on nutrient mineralization, soil microflora, and plant growth were investigated during the growth period of 1992. Experimental chambers with reconstructed forest floor were placed in the held and destructively sampled after 7 and 14 wk. D. octaedra enhanced the shoot biomass of the grass Agropyron trachycaulum (Link) Malte (Poaceae) and increased the shoot-to-root ratio during early plant growth. Microbial biomass, basal respiration and respiratory quotient qCO(2) in L/F layer material were reduced by D. octaedra but increased in the H layer. The nutrient (NH4+, NO3-, PO43-) content in soil was also affected by D. octaedra but the effects were small. Effects of the earthworms on soil nutrient content were masked by the great variation in the data and by leaching of nutrients from experimental chambers.","Dec 1994","DOI: 10.2307/1940889","https://www.researchgate.net/publication/254715857_Effects_of_Invasion_of_an_Aspen_Forest_Canada_by_Dendrobaena_Octaedra_Lumbricidae_on_Plant_Growth?_sg=26JipQ4yrGBpqGXnc7h4Op3gqvDrQ689vz5X1kNuHKfcQ4Vcnr1NBmN_vp3_VmLWfIrNMFpi9kbKrio"
34,"MA1","Nonlinearity of effects of invasive ecosystem engineers on abiotic soil properties and soil biota","Daniela Straube","Nico Eisenhauer","Invasions of non‐indigenous species into natural communities are currently rated as one of the most important threats to biodiversity. Particularly exotic ecosystem engineers such as earthworms potentially have profound impacts on community assembly and functioning. We investigated the impact of invasion by the lumbricid earthworms into an aspen forest of the Canadian Rocky Mountains on soil organic matter, microorganisms and microarthropod communities. Building on the results of previous studies in this forest, we expected positive effects of Lumbricus terrestris middens and negative effects of Octolasion tyrtaeum on soil biota (increase and decrease in soil nutrient concentrations, microbial parameters and soil microarthropod density and diversity, respectively). Further, we expected that earthworm effects change with time. Combined results of previous and the present study suggest a wavelike colonization pattern for Dendrobaena octaedra and O. tyrtaeum and that indeed the impact of earthworms on soil biota changed with time, likely due to changes in earthworm density. Unexpectedly, L. terrestris middens neither affected soil abiotic nor soil biotic properties. By contrast and in contrast to our hypothesis, carbon and nitrogen concentration and C‐to‐N ratio in deeper soil layers increased in presence of O. tyrtaeum , thereby likely enhancing nutrient availability for soil microorganisms and microarthropods. Even though the density of this endogeic species was rather low, presence of O. tyrtaeum resulted in increased densities of a number of microarthropod taxa and increased microarthropod diversity. The results suggest that at low density, invasive ecosystem engineers, such as O. tyrtaeum, cause disturbances of intermediate strength thereby beneficially affecting soil microorganisms and most microarthropods. This contrasts earlier effects during the wavelike invasion of O. tyrtaeum into the aspen forest when densities of O. tyrtaeum were high resulting in generally detrimental effects on soil biota. The results emphasize the nonlinearity of earthworm effects on abiotic and biotic soil properties and call for further long‐term investigations.","Jun 2009","DOI: 10.1111/j.1600-0706.2009.17405.x","https://www.researchgate.net/publication/202001036_Nonlinearity_of_effects_of_invasive_ecosystem_engineers_on_abiotic_soil_properties_and_soil_biota?_sg=bdtLg-XWl7v9qwv2i8Gwf3_Tlz1PUG9sZa_ZkT3Zb87xB2AEeTNb9liA5t8IqJRyAFQRjvA4IXvpArk"
35,"MA1","Effects of exotic earthworms on soil phosphorus cycling in two broadleaf temperate forests","Esteban R. Su�rez","Melany C. Fisk","We compared the biogeochemical cycling of phosphorus (P) in northern hardwood forest plots invaded by exotic earthworms versus adjacent uninvaded reference plots. In three of the six pairs of plots, earthworm invasion resulted in significantly more total P in the upper 12 cm of soil. The finding of increased amounts of unavailable and occluded inorganic P forms in the invaded plots suggests that earthworm activity mobilized unweathered soil particles from deeper layers of the soil, increasing the stocks of total P in surface soils. In two pairs of plots, the earthworm-invaded soils had less total P than the reference soils. In these plots, earthworm activity resulted in augmented rates of P cycling and alteration of the physical structure of the soil that increased loss of P in leaching water, reducing the total amount of P. We hypothesize that the different effects of earthworm invasion on the soil P cycle result from unique characteristics of the ecological groups of earthworms dominating each site. The invaded plots with increased total P were dominated by the anecic species Lumbricus terrestris, a large earthworm that constructs deep, vertical burrows and is effective at moving soil materials from and to deeper layers of the profile. In contrast, the earthworm-invaded plots where the total P in the surface soil decreased were dominated by the epi-endogeic species L. rubellus, which feeds and lives in the upper organic layers of the soil. In these plots, earthworms significantly increased the amount of readily exchangeable P in the soil, increasing the loss of this element in leaching water.","Feb 2004","DOI: 10.1007/s10021-003-0128-x","https://www.researchgate.net/publication/225174209_Effects_of_Exotic_Earthworms_on_Soil_Phosphorus_Cycling_in_Two_Broadleaf_Temperate_Forests?_sg=U5SEZhvRzLvRBtgVJlHEEYwQZjg7O6TVpFkQXx_LvObST1Z54N_3EPmwIPsBCv7-zO9KkCVNeDigZ9E"
36,"MA1","Spatial and temporal dynamics of exotic earthworm communities along invasion fronts in a temperate hardwood forest in South-Central New York (USA)","Esteban R. Suárez","Patrick J. Bohlen","The invasion of North American forests by exotic earthworms is producing profound ecosystem changes, such as alterations in soil nutrient cycling, and redistribution and loss of soil organic matter. However, the present and future extent of these invasions is difficult to evaluate without a better understanding of the factors that control the distribution and abundance of earthworms in previously non-invaded habitats. In this study, the species composition and short-term dynamics of three exotic earthworm invasion fronts were studied at a northern hardwood forest in south-central New York State (USA). Belt transects were established at each of the three locations to sample from earthworm-invaded areas through transition zones and into invasion front areas. Lumbricus rubellus, L. terrestrisandOctolasion tyrtaeum were the most common species, but their distribution was not homogeneous along the transects. Whereas, L. rubellus was the only species with relatively high adult densities at transition zones and invasion fronts, L. terrestris and O. tyrtaeum occurred mostly in the heavily earthworm-invaded areas and were rare at the invasion fronts. The density of earthworms along the transects decreased by 60–87 from June 2001 to October 2002 and then recovered in 2003 to values similar to those of 2001. This decrease was apparently caused by reduced recruitment of immature earthworms, probably related to the severe drought periods that the study area experienced in 2001 and 2002. Our data suggest that climate and topography, through their effects on soil moisture patterns, can be critical factors controlling the distribution and spread of exotic earthworms in previously non-invaded habitats.","Jun 2006","DOI: 10.1007/s10530-005-1196-y","https://www.researchgate.net/publication/226560274_Spatial_and_Temporal_Dynamics_of_Exotic_Earthworm_Communities_Along_Invasion_Fronts_in_a_Temperate_Hardwood_Forest_in_South-Central_New_York_USA?_sg=h2AfGMunMuJEnHoGX92-2A0Wlb3-NXws0Gq6JKm-V4Pj1mK_dDblSEoOKAo3AMYtAA-4WPQyxxDLyA4"
37,"MA1","Resident plant diversity and introduced earthworms have contrasting effects on the success of invasive plants","Timothy J. S. Whitfeld","Peter B. Reich","Theoretical predictions and empirical studies suggest that resident species diversity is an important driver of community invasibility. Through trait-based processes, plants in communities with high resident species diversity occupy a wider range of ecological niches and are more productive than low diversity communities, potentially reducing the opportunities for invasion through niche preemption. In terrestrial plant communities, biotic ecosystem engineers such as earthworms can also affect invasibility by reducing leaf litter stocks and influencing soil conditions. In a greenhouse experiment, we simultaneously manipulated resident species diversity and earthworm presence to investigate independent and interactive effects of these two variables on the success of several invasive plants. Higher diversity of resident species was associated with lower biomass of invasives, with the effect mediated through resident species biomass. The presence of earthworms had a strong positive effect on the biomass of invasive species across all levels of resident species diversity and a weaker indirect negative effect via decreased soil moisture. Earthworms also weakened the positive correlation between resident species diversity and productivity. We did not observe any interactive effects of resident species biomass and earthworms on invasive species success. Partitioning the net biodiversity effect indicated that selection effects increased with resident species diversity whereas complementarity effects did not. Results suggest that managing for diverse forest communities may decrease the susceptibility of these communities to invasions. However, the presence of introduced earthworms in previously earthworm-free sites may undermine these efforts. Furthermore, future studies of plant community invasibility should account for the effects of introduced earthworms.","Oct 2014","DOI: 10.1007/s10530-014-0657-6","https://www.researchgate.net/publication/266793875_Resident_plant_diversity_and_introduced_earthworms_have_contrasting_effects_on_the_success_of_invasive_plants?_sg=mjbIVNZN8rtVwW9LXbELjDpx1p9vMm0hR_sqppjo9BjBZ0DayzjgS2l_dE47XolvdD-jIubSclUrSx0"
38,"MA1","Exotic earthworm invasion increases soil carbon and nitrogen in an old-growth forest in southern Quebec","M Wironen","T R Moore","To test whether invasion of exotic earthworms affects soil carbon (C) and nitrogen (N), we sampled the litter and upper mineral soil (to 30 cm) at a series of sites varying in their earthworm populations in an old-growth beech-maple forest at Mont St. Hilaire, southern Quebec. We measured earthworm abundance and biomass using hand-sorting and chemical extraction (allyl isothiocyanate) methods. They gave similar results, though there was evidence of size and species-specific biases. Abundance and biomass of the earthworms ranged from < 10 to > 100 earthworms center dot m(-2) and from < 10 to 125 g center dot m(-2), respectively, and were correlated with distance from a nearby lake (negatively) and soil pH (positively). The presence of earthworms was associated with a decrease in the mass and thickness and an increase in the ON quotient of the litter layer. There were no significant changes in C and N mass of the mineral soil between 0 and 10 cm, but the underlying layers (10-20 and 20-30 cm) in sites with > 10 earthworms center dot m(-2) showed significantly (p < 0.05) greater concentrations and masses of both C and N than did sites with < 10 earthworms center dot m(-2). The overall profile (litter plus soil to 30 cm) average C was 13.7 and 10.1 kg center dot m(-2) with and without earthworms, respectively, and the equivalent figures for N were 1.01 and 0.68 kg center dot m(-2). These results demonstrate that invasion of earthworms into deciduous forests affects both the litter and mineral soil, and sampling to a depth of 30 cm suggests that earthworm invasion (from < 10 to > 10 earthworms center dot m(-2)) may increase overall C and N.","Apr 2006","DOI: 10.1139/X06-016","https://www.researchgate.net/publication/249535147_Exotic_earthworm_invasion_increases_soil_carbon_and_nitrogen_in_an_old-growth_forest_in_southern_Quebec?_sg=97eCdAHLViDbksBB1IEj5JDR4Ssa1x7bqx7BrGDK22-RO4MFxv0lEMYnNf41GMrXxRtjttLeX9t-Y3s"
39,"MA1","Land use history determines non-native earthworm impacts on atmospheric methane consumption in forest soils, central New York State","Joseph B. Yavitt","Joseph B. Yavitt","Soils in temperate forests consume atmospheric methane, but the amount depends on many factors, including land use, climate, and soil pollution. Less is known about the impact of non-native earthworms, which are currently invading many northern forests in the USA and Canada, consuming the forest floor layer, and altering soil structure. I surveyed methane dynamics in earthworm impacted and control soils in central New York State for 1) concentrations in soil air spaces, 2) fluxes between soil and the atmosphere using static chambers in the field, and 3) oxidation kinetics in the laboratory. An inert tracer gas SF6 was used to assess earthworm impacts on soil gas permeability. I expected less consumption of atmospheric methane in earthworm-impacted soils for several reasons, including soil mixing that would disturb the fine zonation of methane-oxidizing bacteria typically found in the mineral soil. Results/Conclusions I found significantly greater concentrations of atmospheric methane within the profile of earthworm impacted soils than in controls, and sporadic measures of concentrations greater than atmospheric suggest that earthworms promote net methane production. Control soils were significantly more permeable to SF6, indicating that earthworm activity compacts forest soils. Consumption rates of atmospheric methane were statistically similar for earthworm impacted and control soils in the field. However, earthworm impacted soils consumed less methane when incubated in the laboratory, suggesting that the forest floor layer reduces the rate of atmospheric methane consumption in the field. The results extend the evidence that invasive earthworms in northern forests have an impact on atmospheric greenhouse gases to include atmospheric methane.","Aug 2013","N/A","https://www.researchgate.net/publication/267289113_Atmospheric_methane_consumption_and_non-native_earthworms_in_northern_forest_soils?_sg=RU9XwDAyxiPkfsLkIBjQHSOefH-uUnbOKBlHB24JRfVTh5WQoqikcVT498Y7mfT7Uizb6eKiifm33E0"
40,"MA1","Earthworms facilitate carbon sequestration through unequal amplification of carbon stabilization compared with mineralization","Weixin Zhang","Shenglei Fu","A recent review concluded that earthworm presence increases CO2 emissions by 33% but does not affect soil organic carbon stocks. However, the findings are controversial and raise new questions. Here we hypothesize that neither an increase in CO2 emission nor in stabilized carbon would entirely reflect the earthworms' contribution to net carbon sequestration. We show how two widespread earthworm invaders affect net carbon sequestration through impacts on the balance of carbon mineralization and carbon stabilization. Earthworms accelerate carbon activation and induce unequal amplification of carbon stabilization compared with carbon mineralization, which generates an earthworm-mediated 'carbon trap'. We introduce the new concept of sequestration quotient to quantify the unequal processes. The patterns of CO2 emission and net carbon sequestration are predictable by comparing sequestration quotient values between treatments with and without earthworms. This study clarifies an ecological mechanism by which earthworms may regulate the terrestrial carbon sink.","Oct 2013","DOI: 10.1038/ncomms3576","https://www.researchgate.net/publication/257838858_Earthworms_facilitate_carbon_sequestration_through_unequal_amplification_of_carbon_stabilization_compared_with_mineralization?_sg=jfvG6SfFrxjRv7HgBXTg3Ps_RUneDjulVP9xxu9mYO30-bpoqmIX6-xTynNksodut7t_Gh9lwJuebS4"
41,"MA2","Belowground organism activities affect plant aboveground phenotype, inducing plant tolerance to parasites","Manuel Blouin","Patrick Lavelle","Soil fauna activities are probably more important than currently acknowledged in determining individual plant response to stresses and overall plant diversity. Here we demonstrate that the positive effect of earthworms on rice could be the result of a systemic effect on plant physiology. Moreover, this effect could improve tolerance to stressors such as parasitic nematodes. In a controlled experiment, an 82% decrease in the production of infested plants was suppressed when earthworms were present. Earthworms had no direct effect on nematode population size. In their presence, however, root biomass was not affected by nematodes and the expected inhibition of photosynthesis was suppressed. In the leaves, the expression of three stress-responsive genes (coding for lipoxygenase, phospholipase D and cysteine protease) was modulated by the presence of belowground invertebrate activities. We document conflicting systemic effects of parasitic nematodes and beneficial earthworms, although we cannot precisely identify the mechanism involved. These results reveal the importance of non-trophic belowground/aboveground interactions for plant health and response to stresses.","Feb 2005","DOI: 10.1111/j.1461-0248.2004.00711.x","https://www.researchgate.net/publication/227724969_Belowground_organism_activities_affect_plant_aboveground_phenotype_inducing_plant_tolerance_to_parasites?_sg=rcpBseGfKi1Qr7f9IKUP-b0gUHkoidNjRjoGvtEvKSY36E73pIH-1egoYHVaNN0Ll4UD8qZRf1kcQIc"
42,"MA2","Earthworms as drivers of the competition between grasses and legumes","Valerie Eviner","Valerie Eviner","Grasses and legumes are grown together worldwide to improve total herbage yield and the quality of forage, however, the causes of population oscillations of grasses and legumes are poorly understood. Especially in grasslands, earthworms are among the most important detritivore animals functioning as ecosystem engineers, playing a key role in nutrient cycling and affecting plant nutrition and growth. The objectives of the present greenhouse experiment were to quantify the effects of earthworms on grass-legume competition in model grassland systems at two harvesting dates - simulating the widespread biannual mowing regime in Central European grasslands. The presence of earthworms increased the productivity of grasses and legumes after 6 weeks but only that of grasses after another 10 weeks. In mixed treatments, the presence of grasses and earthworms decreased legume shoot biomass, the amount of nitrogen (N) in shoot tissue and the number of legume flowerheads while the presence of legumes and earthworms increased the amount of N in grass shoots and the infestation of grasses with aphids. Analyses of N-15/N-14 ratios indicate that. compared to legumes, grasses more efficiently exploit soil mineral N and benefit from legume presence through reduced ""intra-functional group"" competition. In contrast to previous experiments, we found no evidence for N transfer from legumes to grasses. However, legume presence improved total herbage and N yield. Earthworms likely modulate the competition between grasses and legumes by increasing soil N uptake by plants and thereby increasing the competitive strength of grasses. Earthworms function as essential driving agents of grass-legume associations by (I) increasing grass yield, (II) increasing the amount of N in grass hay, (III) increasing the infestation rate of grasses with aphids, and (IV) potentially reducing the attractiveness of grass-legume associations to pollinators. ","Oct 2008","DOI: 10.1016/j.soilbio.2008.07.010","https://www.researchgate.net/publication/235734169_Earthworms_as_drivers_of_the_competition_between_grasses_and_legumes?_sg=oAu8qHarttw7LaRXXjJBbkG_DM02sXW7V1G25PuJ1Bx_NmmPhSynJ9STWayXz3o2quFGB1jVJcpSr6k"
43,"MA2","Plant-mediated effects of soil invertebrates and summer drought on above-ground multitrophic interactions","Scott N. Johnson","Susan E. Hartley","1. We conducted a large‐scale field study to determine how the interactive effects of earthworms ( Aporrectodea caliginosa ) and summer drought affected plant communities containing barley ( Hordeum vulgare ), shepherd’s purse ( Capsella bursa‐pastoris ) and common groundsel ( Senecio vulgaris ), and how such effects then influenced populations of the aphid Rhopalosiphum padi and its parasitoid, Aphidius ervi . 2. Total biomass of plant communities decreased by around 25% with summer drought, but was increased by the presence of earthworms by over 11%. The effects of drought and earthworms on H. vulgare differed in monocultures and mixed plant communities. In monocultures, earthworms had the biggest impact, increasing plant biomass, but drought had the biggest effect in multi‐species communities, causing a decrease in biomass. 3. Drought had an extremely negative impact on S. vulgaris shoot and root biomass, but this was ameliorated in the roots when earthworms were present. Capsella bursa‐pastoris was not significantly affected by drought or earthworms. Drought caused a significant increase in shoot nitrogen concentrations in all plants, including H. vulgare (from 19.2 to 23.8 mg g ⁻¹ ). 4. In total, 35 234 aphids were recorded, of which 3936 were parasitized. Drought conditions reduced aphid abundance by over 50%. The interaction was moderated by earthworms, which caused further declines in R. padi populations under drought conditions, most notably in monocultures. 5. The plant‐mediated effects of drought and earthworms (negative and positive, respectively) on R. padi had cascading effects on the parasitoid, Aphidius ervi , which declined in abundance with reduced numbers of R. padi . In addition, drought had a negative impact on A. ervi abundance beyond its impacts on aphid density, suggesting reduced prey quality as well as quantity. 6. Synthesis . This study demonstrated the effect of predicted climate change (i.e. reduced summer rainfall) on plant‐mediated interactions between earthworms and above‐ground multitrophic groups. These effects were seen to differ between monocultures and multi‐species plant communities, suggesting that changes in above‐ground–below‐ground linkages in response to drought may influence plant communities in the future.","Dec 2010","DOI: 10.1111/j.1365-2745.2010.01748.x","https://www.researchgate.net/publication/230159049_Plant-mediated_effects_of_soil_invertebrates_and_summer_drought_on_above-ground_multitrophic_interactions?_sg=pjcUYXpwDLZeFjBWIBKmbutrBzyUVGyhkzTf_zRNLVBRC7X8x-_rMJ6b_NnKHHPLUxkJFqbacBWxC08"
44,"MA2","Plant mediated effects of earthworms on aphid dynamics","Christian Körner","Christian Körner","The individual and combined effects of the endogeic and epigeic groups of earthworms on the growth of Chinese cabbage (Brassica rapa), and on the subsequent growth and development of the generalist sap-sucking herbivore Myzus persicae were determined in separate pot experiments. Many previous studies have investigated the relationship between soil biodiversity and aboveground plants, but few researches have considered the indirect interaction between soil biota and above-ground aphids. In this study the individual effects of Aporrectodea rosea and Allolobophora chlorotica and the combined effects of A. rosea and A. chlorotica, Aporrectodea caliginosa and Satchellius mammalis, A. chlorotica and S. mammalis, and A. rosea, A. caliginosa, Lumbricus rubellus and S. mammalis on plant morphology and physiology and aphid development (nymphs day-1, fecundity and number of adults) were investigated. Plant growth was affected by the presence of A. rosea which caused increases in plant biomass, height of plant, leaf surface area and specific leaf area (SLA). Mean number of leaves per plant was unaffected by worm density. In contrast, increasing density of A. chlorotica had no effect on any aspect of plant performance. The combined effect of A. rosea and A. chlorotica resulted in a similar increase in plant biomass to A. rosea alone. While the combined effects of A. caliginosa and Satchellius mammalis, A. chlorotica and S. mammalis and A. rosea, A. caliginosa, L. rubellus and S. mammalis caused increases in all plant parameters except leaf number. Additionally, the individual effect of A. rosea and the combined effects of A. caliginosa and S. mammalis, A. chlorotica & S. mammalis and A. rosea and A. caliginosa, L. rubellus and S. mammalis resulted in increased in leaf nitrogen concentration. Aphid development was also affected by the presence of earthworms. The nymphs day-1, fecundity and numbers of adults were significantly increased with increases in earthworm densities. The interaction between all groups of earthworms and their influence on aphid growth showed that the combined effect of two different groups was greater than the individual groups. Proteomic techniques were used to compare protein patterns in the plants. The combined effects of A. caliginosa and S. mammalis, A. chlorotica and S. mammalis, A. rosea, A. caliginosa, L. rubellus and S. mammalis earthworms on plant resulted in differences in number and kind of protein between plant treated with earthworms and the control, but no significant difference in proteins volume. Effects of earthworms on plant growth and aphid development are shown to be modified by increasing density and interactions between different species and functional groups of earthworms.","Dec 2014","DOI: 10.1186/s12898-014-0025-5","https://www.researchgate.net/publication/267922744_Plant_genetic_variation_mediates_an_indirect_ecological_effect_between_belowground_earthworms_and_aboveground_aphids?_sg=z8OHpJVKB9kmnm938lBm4kgrP9m0FQ3dqNRNPBMEU4jlUU3XQC86s7LkZn5kjVEMbYW5wd9LhvpCtHA"
45,"MA2","Earthworms, Collembola and residue management change wheat (Triticum aestivum) and herbivore pest performance (Aphidina: Rhophalosiphum padi)","Xin Ke","Stefan Scheu","Management practices of arable systems determine the distribution of soil organic matter thereby changing decomposer animal activity and their impact on nutrient mineralization, plant growth and plant–herbivore interactions. Decomposer-mediated changes in plant growth and insect pest performance were investigated in wheat–aphid model systems in the greenhouse. Three types of litter distribution were established: litter patch at the soil surface (simulating mulching), litter patch deeper in soil (simulating ploughing) and litter homogeneously mixed into soil (simulating disk cultivation). The litter was labelled with 15N to follow the mineralization and uptake of nutrients by the plants. Earthworms (Aporrectodea caliginosa) and Collembola (Protaphorura armata) were included as representatives of major functional groups of decomposers. Wheat (Triticum aestivum) was planted and aphids (Rhophalosiphum padi) were introduced to leaves as one of the most important pests. Earthworms, Collembola and litter distribution affected plant growth, N acquisition and aphid development in an interactive way. Earthworms and Collembola increased biomass of seeds, shoots and roots of wheat. Increased plant growth by earthworms and Collembola was mainly due to increased transfer of N from soil (rather than litter) into plants. Despite increasing plant growth, earthworms reduced aphid reproduction. Aphid reproduction was not correlated closely with plant N concentrations, but rather with the concentration of litter N in wheat. Unexpectedly, both Collembola and earthworms predominantly affected the mobilization of N from soil organic matter, and by altering the distribution of litter earthworms reduced infestation of crops by aphids via reducing plant capture of litter N, in particular if the litter was concentrated deeper in soil. The results suggest that management practices stimulating a continuous moderate increase in nutrient mobilization from soil organic matter rather than nutrient flushes from decomposing fresh organic matter result in maximum plant growth with minimum plant pest infestation.","Oct 2008","DOI: 10.1007/s00442-008-1106-y","https://www.researchgate.net/publication/51428073_Earthworms_Collembola_and_residue_management_change_wheat_Triticum_aestivum_and_herbivore_pest_performance_Aphidina_Rhophalosiphum_padi?_sg=85R82Th0MnfRittJD-3Vx0BuXvqBZRON9oFm9dLzLFNJYUMqDoo7qRpTh69RnevSK9Pm14sr5HeRn6w"
46,"MA2","After-life effects: living and dead invertebrates differentially affect plants and their associated above- and belowground multitrophic communities","Martine Kos","T. Martijn Bezemer","Above–belowground (AG–BG) studies typically focus on plant‐mediated effects inflicted by living organisms. However, animal cadavers may also play an important role in AG–BG interactions. Here, we explore whether living and dead foliar‐feeding and soil‐dwelling invertebrates differentially affect plants and their associated AG and BG multitrophic communities. In a mesocosm study we separated effects of living and dead locusts (AG herbivores) and earthworms (BG detritivores) on experimental multitrophic communities consisting of eight plant species, an AG aphid and parasitoid community and a BG nematode community. We measured root and shoot biomass and determined plant community composition and densities of aphids, parasitoids and nematodes. Living locusts decreased total shoot and root biomass in the mesocosms, whereas living earthworms enhanced total root biomass. Cadavers of both invertebrates strongly increased total root and shoot biomass, and changed the plant community composition mainly via enhanced growth of grasses. Earthworm cadavers affected plant biomass and community composition more strongly than their living counterparts, while this was reversed for locusts. Structural equation models showed that aphids and parasitoids were influenced via changes in plant community composition. Nematode densities in the soil, especially those of bacterivorous and entomopathogenic nematodes, were strongly increased by dead invertebrates, but unaffected by living ones. We conclude that effects of invertebrates on plant growth and densities of AG and BG organisms strongly depend on whether the invertebrates are dead or alive. Remarkably, invertebrate cadavers may inflict even stronger effects than their living counterparts. Hence, our study reveals an important, but often neglected, role of animal cadavers in AG–BG studies.","Oct 2016","DOI: 10.1111/oik.03734","https://www.researchgate.net/publication/309139175_After-life_effects_Living_and_dead_invertebrates_differentially_affect_plants_and_their_associated_above-_and_belowground_multitrophic_communities?_sg=Ii1w051AZzgWXFpHiHxZHyO5i6V8QR2ZuCtSKx-hHELO9Hyj36KtS0Ds4SWMsKIOEBvF9esPTIPbQ6o"
47,"MA2","Effects of the earthworm Pontoscolex corethrurus on banana plants infected or not with the plant-parasitic nematode Radopholus similis","Antoine Lafont","Patrick Lavelle","Radopholus similis is a worldwide endoparasitic nematode that greatly hampers banana (Musa acuminata, Cavendish subgroup) productivity. Earthworms are known to closely interact with above-ground and under-ground soil biota and particularly with plants and microfaunal communities. This study was aimed at investigating, under greenhouse conditions, the effects of the earthworm Pontoscolex corethrurus on banana growth and nutrient uptake, and assessing the influences of this earthworm on the development of an inoculated population of R. similis. Six-week-old tissue culture banana plants were submitted to four treatments: with P. corethrurus, R. similis, P. corethrurus+R. similis, and a control with no earthworms or nematodes. At the end of the experiment, the P. corethrurus treatments showed significantly higher leaf surface areas, shoot dry root weights, and root fresh weights than those without earthworms. This root growth enhancement probably contributed to the evident but non-significant decrease in the density of nematodes in the roots, even though earthworms did not reduce the total number of nematodes per whole root system. Moreover, the presence of earthworms slightly alleviated the severity of root damage. N bioavailability in the soil, along with N, Ca, and Mg content of banana plants, were also significantly increased in the presence of earthworms. Our results demonstrated that banana plant growth and nutrition were positively influenced by earthworms. Cropping practices that boost the development of earthworm communities in soil should therefore be promoted to enhance sustainability and to naturally alleviate nematode impact.","Oct 2007","DOI: 10.1016/j.pedobi.2007.05.004","https://www.researchgate.net/publication/248907452_Effects_of_the_earthworm_Pontoscolex_corethrurus_on_banana_plants_infected_or_not_with_the_plant-parasitic_nematode_Radopholus_similis?_sg=InO7-aReFMPIw5VbsBbdOhRU4kYRonnG-qOSrQHQA12JED8e8tUhO0z5YOPXKzU4T1qriAg2WsW6i9s"
