,Title,First author,Last author,Abstract,Journal,Language,Year,Month,First Author Country,Last Author Country,DOI,DOI URL
17,Resource stoichiometry and availability modulate species richness and biomass of tropical litter macro-invertebrates.,Malte Jochum,Ulrich Brose,"<jats:title>Abstract</jats:title><jats:p>
<jats:list>

<jats:list-item><jats:p>High biodiversity and biomass of soil communities are crucial for litter decomposition in terrestrial ecosystems such as tropical forests. However, the leaf litter that these communities consume is of particularly poor quality as indicated by elemental stoichiometry. The impact of resource quantity, quality and other habitat parameters on species richness and biomass of consumer communities is often studied in isolation, although much can be learned from simultaneously studying both community characteristics.</jats:p></jats:list-item>

<jats:list-item><jats:p>Using a dataset of 780 macro‐invertebrate consumer species across 32 sites in tropical lowland rain forest and agricultural systems on Sumatra, Indonesia, we investigated the effects of basal resource stoichiometry (C:X ratios of N, P, K, Ca, Mg, Na, S in local leaf litter), litter mass (basal resource quantity and habitat space), plant species richness (surrogate for litter habitat heterogeneity), and soil pH (acidity) on consumer species richness and biomass across different consumer groups (i.e. 3 feeding guilds and 10 selected taxonomic groups).</jats:p></jats:list-item>

<jats:list-item><jats:p>In order to distinguish the most important predictors of consumer species richness and biomass, we applied a standardised model averaging approach investigating the effects of basal resource stoichiometry, litter mass, plant species richness and soil <jats:styled-content style=""fixed-case"">pH</jats:styled-content> on both consumer community characteristics. This standardised approach enabled us to identify differences and similarities in the magnitude and importance of such effects on consumer species richness and biomass.</jats:p></jats:list-item>

<jats:list-item><jats:p>Across consumer groups, we found litter mass to be the most important predictor of both species richness and biomass. Resource stoichiometry had a more pronounced impact on consumer species richness than on their biomass. As expected, taxonomic groups differed in which resource and habitat parameters (basal resource stoichiometry, litter mass, plant species richness and pH) were most important for modulating their community characteristics.</jats:p></jats:list-item>

<jats:list-item><jats:p>The importance of litter mass for both species richness and biomass indicates that these tropical consumers strongly depend on habitat space and resource availability. Our study supports previous theoretical work indicating that consumer species richness is jointly influenced by resource availability and the balanced supply of multiple chemical elements in their resources.</jats:p></jats:list-item>
</jats:list>
</jats:p>",Wiley,en,2017.0,No data,Germany,Germany,10.1111/1365-2656.12695,http://dx.doi.org/10.1111/1365-2656.12695
18,Biogeochemistry and the structure of tropical brown food webs.,Michael Kaspari,Stephen P. Yanoviak,"<jats:p>Litter invertebrates are notoriously patchy at small scales. Here we show that the abundance of 10 litter taxa also varies 100‐fold at landscape and regional scales across 26 forest stands in Peru and Panama. We contrast three hypotheses that link gradients of abundance to ecosystem biogeochemistry. Of 14 factors considered (12 chemical elements, plus fiber and litter depth), four best predicted the abundance of litter invertebrates. In the Secondary Productivity Hypothesis, phosphorus limits abundance via the conversion of detritus to microbial biomass. Two of four microbivore taxa, collembola and isopods, increased with the percentage of P (%P) of decomposing litter. However, percentage of S (correlated with %P) best predicted the abundance of collembola, oribatids, and diplopods (<jats:italic>r</jats:italic><jats:sup>2</jats:sup>= 0.38, 0.33, 0.21, respectively). In the Structural Elements Hypotheses, N and Ca limit the abundance of silk‐spinning and calcareous taxa, respectively. Mesostigmatids, pseudoscorpions, and spiders, all known to make silk, each increased with percentage of N of litter (<jats:italic>r</jats:italic><jats:sup>2</jats:sup>= 0.22, 0.31, 0.26, respectively). Calcareous isopods, but not diplopods, increased with percentage of Ca of litter (<jats:italic>r</jats:italic><jats:sup>2</jats:sup>= 0.59). In the Ecosystem Size Hypothesis, top predators are limited by available space. The abundance of the three remaining predators, chilopods, staphylinids, and ants, increased with litter depth (<jats:italic>r</jats:italic><jats:sup>2</jats:sup>= 0.31, 0.74, 0.69, respectively), and food webs from forests with deeper litter supported a higher ratio of predators to microbivores. These results suggest that biogeochemical gradients can provide a mechanism, through stoichiometry and trophic theory, shaping the geography of community structure.</jats:p>",Wiley,en,2009.0,No data,No data,No data,10.1890/08-1795.1,http://dx.doi.org/10.1890/08-1795.1
19,Consumption of leaf litter by Lumbricus terrestris (Oligochaeta) on a Michigan woodland floodplain.,Wesley G. Knollenberg,Daniel L. Lawson,No data,JSTOR,No data,1985.0,No data,No data,No data,10.2307/2425341,http://dx.doi.org/10.2307/2425341
20,Effect of the endogeic earthworm Aporrectodea tuberculata on aggregation and carbon redistribution in uninvaded forest soil columns.,Meghan E. Knowles,Josef H. Görres,No data,Elsevier BV,en,2016.0,No data,No data,No data,10.1016/j.soilbio.2016.06.016,http://dx.doi.org/10.1016/j.soilbio.2016.06.016
21,Uses and misuses of meta-analysis in plant ecology.,Julia Koricheva,Jessica Gurevitch,"<jats:title>Summary</jats:title><jats:p>
<jats:list>

<jats:list-item><jats:p>The number of published meta‐analyses in plant ecology has increased greatly over the last two decades. Meta‐analysis has made a significant contribution to the field, allowing review of evidence for various ecological hypotheses and theories, estimation of effects of major environmental drivers (climate change, habitat fragmentation, invasive species, air pollution), assessment of management and conservation strategies, and comparison of effects across different temporal and spatial scales, taxa and ecosystems, as well as research gap identification.</jats:p></jats:list-item>

<jats:list-item><jats:p>We identified 322 meta‐analyses published in the field of plant ecology between 1996 and 2013 in 95 different journals and assessed their methodological and reporting quality according to standard criteria. Despite significant recent developments in the methodology of meta‐analysis, the quality of published meta‐analyses was uneven and showed little improvement over time.</jats:p></jats:list-item>

<jats:list-item><jats:p>We found many cases of imprecise and inaccurate usage of the term ‘meta‐analysis’ in plant ecology, particularly confusion between meta‐analysis and vote counting and incorrect application of statistical techniques designed for primary studies to meta‐analytical data, without recognition of the violation of statistical assumptions of the analyses.</jats:p></jats:list-item>

<jats:list-item><jats:p>Methodological issues for meta‐analyses in plant ecology include incomplete reporting of search strategy used to retrieve primary studies, failure to test for possible publication bias and to conduct sensitivity analysis to test the robustness of the results, as well as lack of availability of the data set used for the analyses.</jats:p></jats:list-item>

<jats:list-item><jats:p>The use of meta‐analysis is particularly common in community ecology, ecophysiology and ecosystem ecology, but meta‐analyses in ecophysiology are more likely not to meet standard quality criteria than papers in other subdisciplines. Fewer meta‐analyses have been conducted in plant population ecology.</jats:p></jats:list-item>

<jats:list-item><jats:p><jats:italic>Synthesis</jats:italic>. Over the past two decades, plant ecologists have embraced meta‐analysis as a statistical tool to combine results across studies, and much has been learned as a result. However, as the popularity and usage of meta‐analysis in the field of plant ecology has grown, establishment of quality standards, as has been done in other disciplines, becomes increasingly important. In order to improve the quality of future meta‐analyses in plant ecology, we suggest adoption of a checklist of quality criteria for meta‐analysis for use by research synthesists, peer reviewers and journal editors.</jats:p></jats:list-item>
</jats:list>
</jats:p>",Wiley,en,2014.0,No data,UK,USA,10.1111/1365-2745.12224,http://dx.doi.org/10.1111/1365-2745.12224
22,Handbook of meta-analysis in ecology and evolution.,No data,No data,"<p>Meta-analysis is a powerful statistical methodology for synthesizing research evidence across independent studies. This is the first comprehensive handbook of meta-analysis written specifically for ecologists and evolutionary biologists, and it provides an invaluable introduction for beginners as well as an up-to-date guide for experienced meta-analysts. The chapters walk readers through every step of meta-analysis, from problem formulation to the presentation of the results. The book identifies both the advantages of using meta-analysis for research synthesis and the potential pitfalls and limitations of meta-analysis (including when it should not be used). Different approaches to carrying out a meta-analysis are described, and include moment and least-square, maximum likelihood, and Bayesian approaches, all illustrated using worked examples based on real biological datasets. The book is tailored to the biological sciences, and will provide an invaluable text for practitioners from graduate students and senior scientists to policymakers in conservation and environmental management.</p>",Princeton University Press,No data,2013.0,No data,No data,No data,10.23943/princeton/9780691137285.001.0001,http://dx.doi.org/10.23943/princeton/9780691137285.001.0001
23,Soil ecology. Springer Science Business Media.,No data,No data,No data,Springer Science and Business Media LLC,en,2003.0,No data,No data,No data,10.1007/s00248-005-8001-4,http://dx.doi.org/10.1007/s00248-005-8001-4
24,Effects of earthworms on soil organic matter and nutrient dynamics at a landscape scale over decades.,No data,No data,No data,CRC Press,No data,2004.0,No data,No data,No data,10.1201/9781420039719-18,http://dx.doi.org/10.1201/9781420039719-18
25,Influence of nonnative earthworms on mycorrhizal colonization of sugar maple (Acer saccharum).,Beth Lawrence,Esteban R. Suárez,No data,Wiley,en,2002.0,No data,No data,No data,10.1046/j.1469-8137.2003.00649.x,http://dx.doi.org/10.1046/j.1469-8137.2003.00649.x
26,Greenhouse-gas emissions from soils increased by earthworms.,Lee Frelich,Lee Frelich,No data,H1 Connect,No data,2013.0,No data,USA,USA,10.3410/f.718002379.793475379,http://dx.doi.org/10.3410/f.718002379.793475379
27,"Short-and long-term effects of the endogeic earthworm Millsonia anomala (Omodeo) (Megascolecidæ,Oligochaeta) of tropical savannas, on soil organic matter.",A. Martin,A. Martin,No data,Springer Science and Business Media LLC,en,1991.0,No data,No data,No data,10.1007/bf00335774,http://dx.doi.org/10.1007/bf00335774
28,Plant diversity and ecosystem productivity: theoretical considerations.,David Tilman,Kendall T. Thomson,"<jats:p>Ecosystem processes are thought to depend on both the number and
 identity of the species present in an ecosystem, but mathematical
 theory predicting this has been lacking. Here we present three simple
 models of interspecific competitive interactions in communities
 containing various numbers of randomly chosen species. All three models
 predict that, on average, productivity increases asymptotically with
 the original biodiversity of a community. The two models that address
 plant nutrient competition also predict that ecosystem nutrient
 retention increases with biodiversity and that the effects of
 biodiversity on productivity and nutrient retention increase with
 interspecific differences in resource requirements. All three models
 show that both species identity and biodiversity simultaneously
 influence ecosystem functioning, but their relative importance varies
 greatly among the models. This theory reinforces recent experimental
 results and shows that effects of biodiversity on ecosystem functioning
 are predicted by well-known ecological processes.</jats:p>",Proceedings of the National Academy of Sciences,en,1997.0,Apr,55455,55455,10.1073/pnas.94.5.1857,http://dx.doi.org/10.1073/pnas.94.5.1857
29,"Microbial respiration, biomass, biovolume and nutrient status in burrow walls of Lumbricus terrestris L. (Lumbricidae).",Alexei V. Tiunov,Stefan Scheu,No data,Elsevier BV,en,1999.0,No data,No data,No data,10.1016/s0038-0717(99)00127-3,http://dx.doi.org/10.1016/s0038-0717(99)00127-3
30,"Microflora, protozoa and nematoda in Lumbricus terrestris burrow walls: a laboratory experiment.",Alexei V. Tiunov,Stefan Scheu,No data,Elsevier BV,en,2001.0,No data,No data,No data,10.1078/0031-4056-00067,http://dx.doi.org/10.1078/0031-4056-00067
31,The unseen invaders: introduced earthworms as drivers of change in plant communities in North American forests (a meta-analysis).,Dylan Craven,Nico Eisenhauer,"<jats:title>Abstract</jats:title><jats:p>Globally, biological invasions can have strong impacts on biodiversity as well as ecosystem functioning. While less conspicuous than introduced aboveground organisms, introduced belowground organisms may have similarly strong effects. Here, we synthesize for the first time the impacts of introduced earthworms on plant diversity and community composition in North American forests. We conducted a meta‐analysis using a total of 645 observations to quantify mean effect sizes of associations between introduced earthworm communities and plant diversity, cover of plant functional groups, and cover of native and non‐native plants. We found that plant diversity significantly declined with increasing richness of introduced earthworm ecological groups. While plant species richness or evenness did not change with earthworm invasion, our results indicate clear changes in plant community composition: cover of graminoids and non‐native plant species significantly increased, and cover of native plant species (of all functional groups) tended to decrease, with increasing earthworm biomass. Overall, these findings support the hypothesis that introduced earthworms facilitate particular plant species adapted to the abiotic conditions of earthworm‐invaded forests. Further, our study provides evidence that introduced earthworms are associated with declines in plant diversity in North American forests. Changing plant functional composition in these forests may have long‐lasting effects on ecosystem functioning.</jats:p>",Wiley,en,2016.0,Mar,Germany,Germany,10.1111/gcb.13446,http://dx.doi.org/10.1111/gcb.13446
32,Factors affecting earthworm abundance in soils.,No data,No data,No data,CRC Press,No data,1997.0,No data,No data,No data,10.1201/9781482285246-9,http://dx.doi.org/10.1201/9781482285246-9
33,"Earthworm Ecology. CRC Press, Boca Raton, Florida, USA.",Mary Keen,Mary Keen,No data,Wiley,en,1991.0,No data,No data,No data,10.1002/bdd.2510120409,http://dx.doi.org/10.1002/bdd.2510120409
34,The action of an animal ecosystem engineer: Identification of the main mechanisms of earthworm impacts on soil microarthropods. Pedobiologia.,Nico Eisenhauer,Nico Eisenhauer,No data,Elsevier BV,en,2010.0,No data,No data,No data,10.1016/j.pedobi.2010.04.003,http://dx.doi.org/10.1016/j.pedobi.2010.04.003
35,"Invasion of a deciduous forest by earthworms: Changes in soil chemistry, microflora, microarthropods and vegetation.",Nico Eisenhauer,Stefan Scheu,No data,Elsevier BV,en,2007.0,No data,No data,No data,10.1016/j.soilbio.2006.12.019,http://dx.doi.org/10.1016/j.soilbio.2006.12.019
36,Ecosystem responses to exotic earthworm invasion in northern North American forests.,No data,No data,No data,Publications Office of the European Union,No data,2016.0,Jan,No data,No data,10.3030/677232,http://dx.doi.org/10.3030/677232
37,Earthworm effects on the incorporation of litter C and N into soil organic matter in a sugar maple forest.,Timothy J. Fahey,Patrick J. Bohlen,"<jats:p>To examine the mechanisms of earthworm effects on forest soil C and N, we double‐labeled leaf litter with <jats:sup>13</jats:sup>C and <jats:sup>15</jats:sup>N, applied it to sugar maple forest plots with and without earthworms, and traced isotopes into soil pools. The experimental design included forest plots with different earthworm community composition (dominated by <jats:italic>Lumbricus terrestris</jats:italic> or <jats:italic>L. rubellus</jats:italic>). Soil carbon pools were 37% lower in earthworm‐invaded plots largely because of the elimination of the forest floor horizons, and mineral soil C:N was lower in earthworm plots despite the mixing of high C:N organic matter into soil by earthworms. Litter disappearance over the first winter–spring was highest in the <jats:italic><jats:named-content content-type=""genus-species"">L. terrestris</jats:named-content></jats:italic> (T) plots, but during the warm season, rapid loss of litter was observed in both <jats:italic>L. rubellus</jats:italic> (R) and T plots. After two years, 22.0% ± 5.4% of <jats:sup>13</jats:sup>C released from litter was recovered in soil with no significant differences among plots. Total recovery of added <jats:sup>13</jats:sup>C (decaying litter plus soil) was much higher in no‐worm (NW) plots (61–68%) than in R and T plots (20–29%) as much of the litter remained in the former whereas it had disappeared in the latter. Much higher percentage recovery of <jats:sup>15</jats:sup>N than <jats:sup>13</jats:sup>C was observed, with significantly lower values for T than R and NW plots. Higher overwinter earthworm activity in T plots contributed to lower soil N recovery. In earthworm‐invaded plots isotope enrichment was highest in macroaggregates and microaggregates whereas in NW plots silt plus clay fractions were most enriched. The net effect of litter mixing and priming of recalcitrant soil organic matter (SOM), stabilization of SOM in soil aggregates, and alteration of the soil microbial community by earthworm activity results in loss of SOM and lowering of the C:N ratio. We suggest that earthworm stoichiometry plays a fundamental role in regulating C and N dynamics of forest SOM.</jats:p>",Wiley,en,2013.0,No data,No data,No data,10.1890/12-1760.1,http://dx.doi.org/10.1890/12-1760.1
38,Carbon food resources of earthworms of different ecological groups as indicated by 13C compound-specific stable isotope analysis.,Olga Ferlian,Stefan Scheu,No data,Elsevier BV,en,2014.0,No data,No data,No data,10.1016/j.soilbio.2014.06.002,http://dx.doi.org/10.1016/j.soilbio.2014.06.002
39,Invasive earthworms erode soil biodiversity: a meta-analysis.,Olga Ferlian,Madhav P. Thakur,"<jats:title>Abstract</jats:title><jats:p>
<jats:list>

<jats:list-item><jats:p>Biological invasions pose a serious threat to biodiversity and ecosystem functioning across ecosystems. Invasions by ecosystem engineers, in particular, have been shown to have dramatic effects in recipient ecosystems. For instance, invasion by earthworms, a below‐ground invertebrate ecosystem engineer, in previously earthworm‐free ecosystems alters the physico‐chemical characteristics of the soil. Studies have shown that such alterations in the soil can have far‐reaching impacts on soil organisms, which form a major portion of terrestrial biodiversity.</jats:p></jats:list-item>

<jats:list-item><jats:p>Here, we present the first quantitative synthesis of earthworm invasion effects on soil micro‐organisms and soil invertebrates based on 430 observations from 30 independent studies.</jats:p></jats:list-item>

<jats:list-item><jats:p>Our meta‐analysis shows a significant decline of the diversity and density of soil invertebrates in response to earthworm invasion with anecic and endogeic earthworms causing the strongest effects. Earthworm invasion effects on soil micro‐organisms were context‐dependent, such as depending on functional group richness of invasive earthworms and soil depth. Microbial biomass and diversity increased in mineral soil layers, with a weak negative effect in organic soil layers, indicating that the mixing of soil layers by earthworms (bioturbation) may homogenize microbial communities across soil layers.</jats:p></jats:list-item>

<jats:list-item><jats:p>Our meta‐analysis provides a compelling evidence for negative effects of a common invasive below‐ground ecosystem engineer on below‐ground biodiversity of recipient ecosystems, which could potentially alter the ecosystem functions and services linked to soil biota.</jats:p></jats:list-item>
</jats:list>
</jats:p>",Wiley,en,2017.0,No data,Germany,Germany,10.1111/1365-2656.12746,http://dx.doi.org/10.1111/1365-2656.12746
40,"Linking direct and indirect pathways mediating earthworms, deer, and understory composition in Great Lakes forests.",Nicholas A. Fisichelli,Nico Eisenhauer,No data,Springer Science and Business Media LLC,en,2012.0,Dec,No data,No data,10.1007/s10530-012-0350-6,http://dx.doi.org/10.1007/s10530-012-0350-6
41,Earthworm invasion into previously earthworm-free temperate and boreal forests.,Lee E. Frelich,Patrick J. Bohlen,No data,Springer Netherlands,No data,,No data,No data,No data,10.1007/978-1-4020-5429-7_5,http://dx.doi.org/10.1007/978-1-4020-5429-7_5
42,Earthworms increase plant production: a meta-analysis.,Jan Willem van Groenigen,Kees Jan van Groenigen,No data,Springer Science and Business Media LLC,en,2014.0,No data,No data,No data,10.1038/srep06365,http://dx.doi.org/10.1038/srep06365
43,Exotic earthworm invasion and microbial biomass in temperate forest soils.,Peter M. Groffman,Timothy J. Fahey,No data,Springer Science and Business Media LLC,No data,2004.0,Jan,No data,No data,10.1007/s10021-003-0129-9,http://dx.doi.org/10.1007/s10021-003-0129-9
44,Earthworms increase soil microbial biomass carrying capacity and nitrogen retention in northern hardwood forests.,Peter M. Groffman,John C. Maerz,No data,Elsevier BV,en,2015.0,No data,No data,No data,10.1016/j.soilbio.2015.03.025,http://dx.doi.org/10.1016/j.soilbio.2015.03.025
45,Nitrogen oligotrophication in northern hardwood forests.,Peter M. Groffman,Pamela H. Templer,No data,Springer Science and Business Media LLC,en,2018.0,Dec,No data,No data,10.1007/s10533-018-0445-y,http://dx.doi.org/10.1007/s10533-018-0445-y
46,Effects of European earthworm invasion on soil characteristics in northern hardwood forests of Minnesota.,Cindy M. Hale,John Pastor,No data,Springer Science and Business Media LLC,en,2005.0,No data,No data,No data,10.1007/s10021-005-0066-x,http://dx.doi.org/10.1007/s10021-005-0066-x
47,The unseen majority: soil microbes as drivers of plant diversity and productivity in terrestrial ecosystems.,Marcel G. A. Van Der Heijden,Nico M. Van Straalen,"<jats:title>Abstract</jats:title><jats:p>Microbes are the unseen majority in soil and comprise a large portion of life’s genetic diversity. Despite their abundance, the impact of soil microbes on ecosystem processes is still poorly understood. Here we explore the various roles that soil microbes play in terrestrial ecosystems with special emphasis on their contribution to plant productivity and diversity. Soil microbes are important regulators of plant productivity, especially in nutrient poor ecosystems where plant symbionts are responsible for the acquisition of limiting nutrients. Mycorrhizal fungi and nitrogen‐fixing bacteria are responsible for<jats:italic>c.</jats:italic>5–20% (grassland and savannah) to 80% (temperate and boreal forests) of all nitrogen, and up to 75% of phosphorus, that is acquired by plants annually. Free‐living microbes also strongly regulate plant productivity, through the mineralization of, and competition for, nutrients that sustain plant productivity. Soil microbes, including microbial pathogens, are also important regulators of plant community dynamics and plant diversity, determining plant abundance and, in some cases, facilitating invasion by exotic plants. Conservative estimates suggest that<jats:italic>c.</jats:italic>20 000 plant species are completely dependent on microbial symbionts for growth and survival pointing to the importance of soil microbes as regulators of plant species richness on Earth. Overall, this review shows that soil microbes must be considered as important drivers of plant diversity and productivity in terrestrial ecosystems.</jats:p>",Wiley,en,2007.0,No data,No data,No data,10.1111/j.1461-0248.2007.01139.x,http://dx.doi.org/10.1111/j.1461-0248.2007.01139.x
48,Exotic earthworm invasions in North America: ecological and policy implications.,PAUL F. HENDRIX,PATRICK J. BOHLEN,No data,Oxford University Press (OUP),en,2002.0,No data,No data,No data,10.1641/0006-3568(2002)052[0801:eeiina]2.0.co;2,http://dx.doi.org/10.1641/0006-3568(2002)052[0801:eeiina]2.0.co;2
49,Earthworm-induced shifts in microbial diversity in soils with rare versus established invasive earthworm populations.,Alexandre B de Menezes,Peter H Thrall,No data,Oxford University Press (OUP),en,2018.0,No data,Australia,Australia,10.1093/femsec/fiy051,http://dx.doi.org/10.1093/femsec/fiy051
50,The influence of invasive earthworms on indigenous fauna in ecosystems previously uninhabited by earthworms.,Sonja Migge-Kleian,Liam Heneghan,No data,Springer Netherlands,No data,,No data,No data,No data,10.1007/978-1-4020-5429-7_8,http://dx.doi.org/10.1007/978-1-4020-5429-7_8
51,Belowground interactions with aboveground consequences: Invasive earthworms and arbuscular mycorrhizal fungi.,Shishir Paudel,Scott R. Loss,No data,Wiley,en,2015.0,No data,No data,No data,10.1890/15-1085.1,http://dx.doi.org/10.1890/15-1085.1
