"Title","First author","Last author","Abstract","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"Signal Molecules Mediate the Impact of the Earthworm Aporrectodea caliginosa on Growth, Development and Defence of the Plant Arabidopsis thaliana.","Ruben Puga-Freitas","Manuel Blouin","Earthworms have generally a positive impact on plant growth, which is often attributed to a trophic mechanism: namely, earthworms increase the release of mineral nutrients from soil litter and organic matter. An alternative hypothesis has been proposed since the discovery of a signal molecule (Indole Acetic Acid) in earthworm faeces. In this study, we used methodologies developed in plant science to gain information on ecological mechanisms involved in plant-earthworm interaction, by looking at plant response to earthworm presence at a molecular level. First, we looked at plant overall response to earthworm faeces in an in vitro device where only signal molecules could have an effect on plant growth; we observed that earthworms were inducing positive or negative effects on different plant species. Then, using an Arabidopsis thaliana mutant with an impaired auxin transport, we demonstrated the potential of earthworms to stimulate root growth and to revert the dwarf mutant phenotype. Finally, we performed a comparative transcriptomic analysis of Arabidopsis thaliana in the presence and absence of earthworms; we found that genes modulated in the presence of earthworms are known to respond to biotic and abiotic stresses, or to the application of exogenous hormones. A comparison of our results with other studies found in databases revealed strong analogies with systemic resistance, induced by signal molecules emitted by Plant Growth Promoting Rhizobacteria and/or elicitors emitted by non-virulent pathogens. Signal molecules such as auxin and ethylene, which are considered as major in plant-microorganisms interactions, can also be of prior importance to explain plant-macroinvertebrates interactions. This could imply revisiting ecological theories which generally stress on the role of trophic relationships.","Plos One ","en",2012,"Dec","France","France","10.1371/journal.pone049504","https://doi.org/10.1371%2Fjournal.pone.0049504","10.1038/srep06365","France","CEREEP research station (Saint-Pierre-Lès-Nemours, France)","Keywords +: SYSTEMIC ACQUIRED-RESISTANCE;PROMOTING RHIZOBACTERIA;AUXIN;EXPRESSION;ETHYLENE;TRANSCRIPTOME;EMERGENCE;PATHOGEN;MUTANTS;BIOMASS ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Changes in soil N pools in response to earthworm population manipulations in agroecosystems with different N sources.","J.M. Blair","B.R. Stinner","Responses of soil N pools to field manipulation of earthworm populations (reduced, unaltered or increased each spring and autumn) were evaluated within each of three agroecosystems based on different N sources: NH4NO3 fertilizer, cow manure or a legume-rye winter cover crop. Our objectives were to determine the effects of earthworms on soil N dynamics in agroecosystems based on different organic or inorganic sources of N, and to examine potential interactive effects of agroecosystem treatments and field-scale earthworm manipulations on soil N pools and potential N losses. Earthworm manipulations began in spring 1991, and were repeated each spring and fall. Soil microbial biomass N was determined by fumigation-extraction on six dates in 1992 and four dales in 1993. Extractable inorganic soil N (0-15 cm) was measured in January and approximately every 2 weeks during the growing seasons of 1992 and 1993. Additionally, the post-growing season vertical distribution (0-15, 15-30, and 30-45 cm) of extractable soil NO3-N was evaluated in November of 1992 and 1993. Earthworm manipulations affected microbial biomass N and extractable inorganic N pools in bulk soil samples. Microbial biomass N was significantly higher in the earthworm reduction treatments. There were significant earthworm x agroecosystem interactions affecting soil NO3. In the inorganically fertilized system, earthworm additions resulted in elevated amounts of extractable NO3 during the growing season of both years. Extractable NH4 concentrations were increased by earthworm additions in 1993, but only in the inorganically fertilized system. Earthworm additions also increased the concentration of soil NO3 at lower depths after the growing season, especially in the inorganically fertilized system. These results suggest that earthworms can alter N cycling processes in agroecosystems, and that these changes are sufficient to be detected by bulk soil sampling. Our results also indicate that the net effects of earthworm activity can vary with agroecosystem management practices. Earthworms may increase N availability by reducing microbial immobilization and enhancing mineralization. However, increased amounts of soil NO3 at the end of the growing season, and increased concentrations in lower soil horizons, could lead to increased leaching losses from inorganically fertilized systems: The implications of these changes for ecosystem-level nutrient fluxes will require further investigation.","SOIL BIOLOGY & BIOCHEMISTRY ","en",1997,"Mar – Apr","USA","USA","10.1016/s0038-0717(96)00098-3","http://dx.doi.org/10.1016/s0038-0717(96)00098-3","10.1038/srep06365","USA","Ohio Agricultural Research and Development Center in Wayne","Keywords +: NITROGEN;CARBON;SCALE ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Earthworm species composition affects the soil bacterial community and net nitrogen mineralization.","Maria B. Postma-Blaauw","Lijbert Brussaard","Knowledge of the effects of species diversity within taxonomic groups on nutrient cycling is important for understanding the rote of soil biota in sustainable agriculture. We hypothesized that earthworm species specifically affect nitrogen mineralization, characteristically for their ecological. group classifications, and that earthworm species interactions would affect mineralization through competition and facilitation effects. A mesocosm experiment was conducted to investigate the effect of three earthworm species, representative of different ecological. groups (epigeic: Lumbricus rubellus; endogeic: Aporrectodea caliginosa tuberculata; and anecic: Lumbricus terrestris), and their interactions on the bacterial. community, and on nitrogen mineralization from N-15-labelled crop residue and from soil organic matter.  Our results indicate that L. rubellus and L. terrestris enhanced mineralization of the applied crop residue whereas A. caliginosa had no effect. On the other hand, L. rubellus and A. caliginosa enhanced mineralization of the soil, organic matter, whereas L. terrestris had no effect. The interactions between different earthworm species affected the bacterial. community and the net mineralization of soil organic matter. The two-species interactions between L. rubellus and A. caliginosa, and L. rubellus and L. terrestris, resulted in reduced mineral N concentrations derived from soil organic matter, probably through increased immobilization in the bacterial biomass. In contrast, the interaction between A. caliginosa and L. terrestris resulted in increased bacterial growth rate and reduced total soil C. When all three species were combined, the interaction between A. caliginosa and L. terrestris was dominant. We conclude that the effects of earthworms on nitrogen mineralization depend on the ecological traits of the earthworm species present, and can be modified by species interactions. Knowledge of these effects can be made useful in the prevention of nutrient losses and increased soil fertility in agricultural systems, that typically have a low earthworm diversity. ","PEDOBIOLOGIA ","en",2006,"Jan","USA","The Netherlands","10.1016/j.pedobi.2006201","https://doi.org/10.1016/j.pedobi.2006.02.001","10.1038/srep06365","The Netherlands","‘De Bovenbuurt’ (51°59′N, 5°40′E)","soil;earthworms;biodiversity;species interactions;nutrients;functional groups","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Inorganic and organic phosphorus pools in earthworm casts (Glossoscolecidae) and a Brazilian rainforest Oxisol.","Christienne N. Kuczak","Flavio J. Luizão","We compared differences in soil phosphorus fractions between large earthworm casts (Family Glossoscolecidae) and surrounding soils, i.e., Oxisols in 10 year-old upland agroforestry system (AGR), pasture (PAS), and secondary forest (SEC) in the Central Brazilian Amazon. AGR and PAS both received low-input fertilization and SEC received no fertilization. We found that earthworm casts had higher levels of organic hydroxide P than surrounding soils, whereas fertilization increased inorganic hydroxide P. Inorganic P was increased by fertilization, and organic P was increased by earthworm gut passage and/or selection of ingested materials, which increased available P (sum of resin and bicarbonate fractions) and moderately available P (sum of hydroxide and dilute acid fractions), and P fertilizer application and land-use increased available P. The use of a modified sequential P fractionation produced fewer differences between earthworm casts and soils than were expected. We suggest the use of a condensed extraction procedure with three fractions (Available P, Moderately Available P, and Resistant P) that provide an ecologically based understanding of the P availability in soil. Earthworm casts were estimated to constitute 41.0, 38.2, and 26.0 kg ha(-1) of total available P stocks (sum of resin and bicarbonate fractions) in the agroforestry system, pasture, and secondary forest, respectively. ","SOIL BIOLOGY & BIOCHEMISTRY ","en",2006,"Mar","USA","Brazil","10.1016/j.soilbio.2005607","https://doi.org/10.1016/j.soilbio.2005.06.007","10.1038/srep06365","Brazil","Central Brazilian Amazon.","agroforestry;Amazonia;Bactris gasipaes;Bertholletia excelsaoxisol;pasture;secondary forest;sequential phosphorus extraction ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Effects of earthworms on Phosphorus dynamics - a review."," R.C. Le Bayon","Roxane Milleret ","Belowground biotic interactions are known to influence soil fertility and plant growth by changing the physical environment and the soil nutrient cycles. Among the great diversity of soil biota, earthworms are keystone soil organisms in regulating nutrient cycling through: (i) their own metabolism that leads to high availability of carbon (C) and nitrogen (N) from metabolic wastes such as urine, mucus and tissue, (ii) the dispersal and the stimulation of soil microorganism activity associated with passage through the intestinal tract and (iii) the distribution and the mixing of organic matter and soil mineral particles. While many studies have examined impacts of earthworm on C and N fluxes in soils, less attention has been paid to the impact of earthworms on soil phosphorus (P). This paper reviews the current state of knowledge of the global earthworm’s impact on soil P dynamics in order to evaluate further involvements: i) on plant production and ii) on P transfer by runoff waters at the plot scale. This mini-review aims at considering research issues at several ecological levels, from individual earthworms (P distribution during food assimilation and excretion; gut microbial activities) to earthworm populations and communities (ecological categories and their influence on P dynamics) and, to the full extent, to the ecosystem scale (storage and/or loss of P). Interacting effects with other organisms (plants, microorganisms) are taken into account as well as the role of earthworms on physicochemical parameters (casting and burrowing activities, soil stability). Such a synthesis highlights the necessity to conduct interdisciplinary studies on biological, chemical and physical processes to better understand the effects of earthworms on P cycling at the ecosystem and landscape levels.","Dynamic Soil, Dynamic Plant (book)","en",2009,"N/A","Switzerland","Switzerland","10.1201/9781482285246-12","https://www.researchgate.net/publication/40783737_Effects_of_Earthworms_on_Phosphorus_Dynamics_-_A_Review","10.1038/srep06365","Wordlwide (« terrestrial ecosystems »)","Various","drilosphere;ecological level;erosion;microorganism;plant","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Movement of N from decomposing earthworm tissue to soil, microbial and plant N pools.","Joann K. Whalen","Jessica L. Vanarsdale","A microcosm experiment was made to determine the fate of nitrogen released from N-15-labelled decomposing earthworms (Lumbricus terrestris) in soil in the presence or absence of ryegrass seedlings (Lolium perenne). Earthworm tissue (2.0% N-15 atom enriched) was added to each microcosm. Nitrogen movement from earthworm tissue to soil N [mineral N (NH4-N + NO3-N), dissolved organic N (DON) and organic N], microbial biomass N and plant shoot N pools was determined by destructive sampling at 1, 2, 4, 8 and 16 d. Earthworm tissues decomposed rapidly, and no tissue was visible after 4 d. Initially in pots without plants, most of the N from earthworm tissue was found in the organic N pool, however, as much as 55% of the N from decomposing earthworm tissue was incorporated into microbial biomass after 2 d. Much less of the N from earthworm tissue was transformed into DON and mineral N forms after 2 d. The DON and mineral N pools contained 13-18% and 4-7% of the N from earthworm tissue, respectively, from d 2 to 16. By the end of the experiment, N from earthworm tissue in the microbial biomass N pool declined to 29% while the amount of N from earthworm tissue in the organic N pool increased to 49%. The increase in the organic N may have resulted from the production of new organic compounds such as microbial by-products. In pots with plants, N from earthworm tissue was rapidly incorporated into microbial biomass, and by d 2, the microbial biomass N pool contained 40% of the N from earthworm tissue. Mineral N, DON and microbial biomass N concentrations were lower in pots with ryegrass seedlings compared to pots without plants, and after d 2 declined to almost undetectable amounts because of rapid plant uptake. Between 42-52% of the N from earthworm tissue was found in the organic N pool from d 1 to 8, and then declined to 19% by d 16. After 16 d, over 70% of the N added as earthworm tissue was incorporated into plant shoot biomass. Our results demonstrate that the movement of N from dead earthworm tissue into microbial biomass was extremely rapid, and in pots without plants, much of this N was transformed into organic N forms, while in pots with ryegrass, most of the N from earthworm tissue accumulated in ryegrass shoots.","SOIL BIOLOGY & BIOCHEMISTRY","en",1999,"Apr","Canada","USA","10.1016/s0038-0717(97)00252-6","http://dx.doi.org/10.1016/s0038-0717(97)00252-6","10.1038/srep06365","USA","Wooster, Ohio","Keywords +: EXTRACTION METHOD;NITROGEN;BIOMASS;FUMIGATION ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Effects of earthworm inoculation upon the root-growth of direct drilled cereals.","C. A. Edwards","J. R. Lofty","(1) Normal field populations of deep-burrowing or shallow-working earthworms were inoculated into small plots that had been sterilized with dichloropropane-dichloropropene (D.D.????), on a site that had been directly drilled with cereals for six successive years. Inoculation with deep-burrowing species (Lumbricus terrestris and Allolobophora longa) significantly increased barley plant populations and the weight and depth of roots and height and amount of foliage. Most of the straw debris on the soil surface was incorporated into the soil in the earthworm-inoculated plots, compared with very little in plots with no earthworms. Yield was also increased significantly by earthworm inoculation. (2) In box experiments, comparing the influence of natural and simulated earth-worm burrows on root growth, it was shown that, although the provision of channels for roots to grow was important, the improved root growth was also partially due to the lining of the burrows with more available nutrients than the surrounding soil. Other experiments demonstrated that the nitrogen from dead earthworms was insufficient to account for increased root growth. Ways of encouraging the build-up of earthworm populations in direct drilled land are discussed.","JOURNAL OF APPLIED ECOLOGY ","en",1980,"Dec","USA","England","10.2307/2402635","http://dx.doi.org/10.2307/2402635","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Influence of earthworms on soil productivity.","HENRY HOPP","CLARENCE S. SLATER","N/A","Soil Science ","en",1948,"Dec","USA","USA","10.1097/00010694-194812000-00003","http://dx.doi.org/10.1097/00010694-194812000-00003","10.1038/srep06365","N/A ","NA ","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Land-use and land-management change: relationships with earthworm and fungi communities and soil structural properties.","David J Spurgeon","Jack H Faber","Background: Change in land use and management can impact massively on soil ecosystems. Ecosystem engineers and other functional biodiversity in soils can be influenced directly by such change and this in turn can affect key soil functions. Here, we employ meta-analysis to provide a quantitative assessment of the effects of changes in land use and land management across a range of successional/extensification transitions (conventional arable -> no or reduced tillage -> grassland -> wooded land) on community metrics for two functionally important soil taxa, earthworms and fungi. An analysis of the relationships between community change and soil structural properties was also included.  Results: Meta-analysis highlighted a consistent trend of increased earthworm and fungal community abundances and complexity following transitions to lower intensity and later successional land uses. The greatest changes were seen for early stage transitions, such as introduction of reduced tillage regimes and conversion to grassland from arable land. Not all changes, however, result in positive effects on the assessed community metrics. For example, whether woodland conversion positively or negatively affects community size and complexity depends on woodland type and, potentially, the changes in soil properties, such as pH, that may occur during conversion. Alterations in soil communities tended to facilitate subsequent changes in soil structure and hydrology. For example, increasing earthworm abundances and functional group composition were shown to be positively correlated with water infiltration rate (dependent on tillage regime and habitat characteristics); while positive changes in fungal biomass measures were positively associated with soil microaggregate stability.  Conclusions: These findings raise the potential to manage landscapes to increase ecosystem service provision from soil biota in relation to regulation of soil structure and water flow.","BMC ECOLOGY ","en",2013,"Dec","UK ","The Netherlands","10.1186/1472-6785-13-46","http://dx.doi.org/10.1186/1472-6785-13-46","10.1038/srep06365","Various (meta-analysis)","Various","Meta analysis;Earthworm;Fungi;Functional biodiversity;Soil porosity;Microaggregate stability ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Soil invertebrates and ecosystem services.","Lavelle, Patrick","Rossi, Jean-Pierre","Invertebrates play significant, but largely ignored, roles in the delivery of ecosystem services by soils at plot and landscape scales. They participate actively in the interactions that develop in soil among physical, chemical and biological processes. We show that soils have all the attributes of self-organized systems as proposed by Perry (Trends Ecol. Evol. 10 (1995) 241) and detail the scales at which invertebrates operate and the different kinds of ecosystem engineering that they develop. This comprehensive analysis of invertebrate activities shows that they may be the best possible indicators of soil quality. They should also be considered as a resource that needs to be properly managed to enhance ecosystem services provided by agro-ecosystems.","EUROPEAN JOURNAL OF SOIL BIOLOGY ","en",2006,"Nov","France","France","10.1093/acprof:oso/978019957592303005","http://dx.doi.org/10.1093/acprof:oso/978019957592303005","10.1038/srep06365","Review (general conceptual overview)","Various","Soil invertebrates;Ecosystem engineers;Self-organized systems;Bioindicators ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
