,"Title","First author","Last author","Abstract: ","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"23","Soil ecology. Springer Science Business Media.","Patrick Lavelle","Alister V. Spain","Abstact: A number of excellent textbooks on general ecology are currently available but‚ to date‚ none have been dedicated to the study of soil ecology. This is important because the soil‚ as the ‘epidermis’ of our planet‚ is the major component of the terrestrial biosphere. In the present age‚ it is difficult to understand how one could be interested in general ecology without having some knowledge of the soil and further‚ to study the soil without taking into account its biological components and ecological setting. It is this deficiency that the two authors‚ Patrick Lavelle and Alister Spain‚ have wished to address in writing their text. A reading of this work‚ entitled ‘Soil Ecology’‚ shows it to be very complete and extremely innovative in its conceptual plan. In addition‚ it follows straightforwardly through a development which unfolds over four substantial chapters. Firstly‚ the authors consider the soil as a porous and finely divided medium of b- organomineral origin‚ whose physical structure and organisation foster the development of a multitude of specifically adapted organisms (microbial communities‚ roots of higher plants‚ macro-invertebrates). ","Book","en",2001,"Aug","France","Australia","10.1007/s00248-005-8001-4","https://link.springer.com/book/9789401752817 ","10.1002/ecy.2936","Not found","Not found","biodiversity     ecology     environment     soil     soil quality     sustainability  ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"24","Effects of earthworms on soil organic matter and nutrient dynamics at a landscape scale over decades","Patrick Lavelle","Nicolas Bernier","Abstact: This chapter synthesizes information on the effects of earthworms on soil systems at scales longer than 1 year, and earthworm behavior that may affect these processes is detailed.","Book : Earthworm ecology","en",2004,"Feb","France","France","10.1201/9781420039719.pt4","https://hal.science/hal-00497245/document","10.1002/ecy.2936","Ivory Coast / Peru","Lamto / Yarimaguas ","Not found.","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"25","Influence of nonnative earthworms on mycorrhizal colonization of sugar maple (Acer saccharum).","Beth Lawrence","Esteban R. Suárez","Abstact:       •      Exotic earthworms can modify or eliminate surface organic (Oe/Oa) horizons in cold-temperate forest ecosystems and have profound effects on the forest soil environment, especially the rooting zone.     •      We examined the effects of earthworm colonization of northern hardwood forest soils on the abundance and morphology of mycorrhizal fungi associated with sugar maple ( Acer saccharum ). We compared mycorrhizal associations of areas of earthworm invasion with those of reference (no-worm) areas in Arnot Forest, central New York, USA.     •      The organic horizon in reference areas had higher mycorrhizal colonization rates and higher colonized root length than did surface layers in areas with active earthworm populations. Hyphal coils were more abundant and also formed a greater proportion of total fungal colonization in reference plots. Vesicles were more abundant and were a higher contribution to total colonization in earthworm plots, indicating a possible stress response to the presence of earthworms.     •      By affecting mycorrhizal colonization and morphology, earthworms may influence nutrient uptake capacity of dominant forest species. Our results suggest that a profound change in the mycorrhizal system will be one component of the potential ecosystem effects of invasion of new forest habitat by nonnative earthworms. ","New Phytologist","en",2002,"Dec","USA","USA","10.1046/j.1469-8137.20030649.x"," https://doi.org/10.1046/j.1469-8137.2003.00649.x ","10.1002/ecy.2936","USA","Cayuta, New York","mycorrhizas     arbuscular mycorrhizal (AM) fungi     earthworms     sugar maple (Acer saccharum)     forest floor  ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"26","Greenhouse-gas emissions from soils increased by earthworms.","Ingrid M. Lubbers","J.W. Groenigen","Abstact: Earthworms play an essential part in determining the greenhouse-gas balance of soils worldwide, and their influence is expected to grow over the next decades. They are thought to stimulate carbon sequestration in soil aggregates, but also to increase emissions of the main greenhouse gases carbon dioxide and nitrous oxide. Hence, it remains highly controversial whether earthworms predominantly affect soils to act as a net source or sink of greenhouse gases. Here, we provide a quantitative review of the overall effect of earthworms on the soil greenhouse-gas balance. Our results suggest that although earthworms are largely beneficial to soil fertility, they increase net soil greenhouse-gas emissions.","Nature Climate Change ","en",2013,"Feb","The The Netherlands ","the The Netherlands","10.3410/f.718002379.793475379","http://dx.doi.org/10.3410/f.718002379.793475379","10.1002/ecy.2936","Not found","Not found","Biogeochemistry     Climate sciences ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"27","Short-and long-term effects of the endogeic earthworm Millsonia anomala (Omodeo) (Megascolecidæ,Oligochaeta) of tropical savannas, on soil organic matter.","A. Martin","A. Martin","Abstact: This study aimed to establish the effects of iMillsonia anomala/i, a tropical geophagous earthworm common in the humid savannas of Lamto (Ivory Coast), on soil organic matter dynamics over different time scales under laboratory conditions. The texture of casts produced by the worms fed on a shrub savanna soil was not significantly different from that of the soil, which showed that iM. anomala/i ingested soil particles without selection. Physical fractionation of soil organic matter showed that the coarse organic fraction (250–2000 μm) was depleted by 25–30% in fresh casts compared to the control noningested soil; this was mainly due to a fragmentation of coarse organic debris. Incubation of casts and a 2-mm sieved control soil under laboratory conditions for more than 1 year showed that the C mineralisation rate was almost four times lower in the casts (3% year-1) than in the control soil (11% year-1). We therefore concluded that on a long time scale iM. anomala/i populations may significantly reduce the decomposition rate of soil organic matter in Lamto savannas.","Biology and fertility of soils ","en",1991,"June","France","France","10.1007/bf00335774","http://dx.doi.org/10.1007/bf00335774","10.1002/ecy.2936","Ivory Coast","Lamto ","Geophagous tropical earthworm     Soil organic matter     Assimilation     Physical fractionation     Dynamics of organic matter     Tropical savannas     Millsonia anomala ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"28","Plant diversity and ecosystem productivity: theoretical considerations.","David Tilman","Kendall T. Thomson","Ecosystem processes are thought to depend on both the number and  identity of the species present in an ecosystem, but mathematical  theory predicting this has been lacking. Here we present three simple  models of interspecific competitive interactions in communities  containing various numbers of randomly chosen species. All three models  predict that, on average, productivity increases asymptotically with  the original biodiversity of a community. The two models that address  plant nutrient competition also predict that ecosystem nutrient retention increases with biodiversity and that the effects of biodiversity on productivity and nutrient retention increase with interspecific differences in resource requirements. All three models show that both species identity and biodiversity simultaneously influence ecosystem functioning, but their relative importance varies greatly among the models. This theory reinforces recent experimental results and shows that effects of biodiversity on ecosystem functioning are predicted by well-known ecological processes.","Ecology ","en",1997,"Mar","USA","USA","10.1073/pnas.94.5.1857","http://dx.doi.org/10.1073/pnas.94.5.1857","10.1002/ecy.2936","Not found","Not found","Biodiversity; resource competition; soil fertility;  nutrient use; retention ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"29","Microbial respiration, biomass, biovolume and nutrient status in burrow walls of Lumbricus terrestris L. (Lumbricidae).","Alexei V. Tiunov","Stefan Scheu","Chemical characteristics and microbial activity were studied in burrow walls of the anecic earthworm species Lumbricus terrestris and in control soil of a lime (Tilia cordata), oak (Quercus robur) and beech (Fagus sylvatica) forest. Samples were taken in June and October at distances of 0–4 (drilosphere), 8–12 and 50–60 (control soil) mm from earthworm burrows. The following variables were measured: organic C, total N, moisture, pH, basal respiration, microbial biomass (SIR method), fungal and bacterial volume (epifluorescence microscopy) and nutrient (C, N and P) limitation of microbial growth. Organic C and total N contents increased in the burrow walls by factors of 1.8–3.5 and 1.3–2.2, respectively, compared to the control soil. The moisture content and pH (up to 1.2 units) was higher. Basal respiration, microbial biomass and bacterial volume in the drilosphere exceeded those in control soil significantly by factors of 3.7–9.1, 2.3–4.7 and 2.1–5.4, respectively. Changes in fungal volume with vicinity to burrows differed between forest sites. Fungal volume was increased significantly by factors of 1.9–3.4 in the earthworm burrow walls in the oak and beech forest, but was similar to that in control soil in the lime forest. Microbial growth in the control soil was limited by N in the oak forest and by N and P in the lime and beech forest. The nutrient status of the microflora changed little in vicinity to burrows. However, microbial N and P demand in earthworm burrow walls exceeded that in soil. The specific respiration (qO2) was increased and the growth response to nutrient additions was faster in the burrow walls suggesting that the microbial community in the burrow walls contains a larger fraction of metabolically-active microorganisms, adapted to continuous resource additions by earthworm faeces and mucus. Enrichment in organic matter, but also other mechanisms, particularly the activity of microbivorous soil animals, are presumably responsible for the formation of a specific microbial community in earthworm burrow walls. It is concluded that L. terrestris burrow walls are stable microhabitats which sustain a large and active microbial community and are likely to play an important role in the soil system by regulating microbial-mediated chemical processes.","Soil Biology and Biochemistry","en",1999,"Dec","Russia","Germany","10.1016/s0038-0717(99)00127-3","http://dx.doi.org/10.1016/s0038-0717(99)00127-3","10.1002/ecy.2936","Russia / Germany","Moscou / Göttingen","Earthworms ; drilosphere ; microorganisms ; substrate induced respiration ; limitation ; nitrogen ; phosphorus ; forest ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"30","Microflora, protozoa and nematoda in Lumbricus terrestris burrow walls: a laboratory experiment.","Alexei V. Tiunov","Stefan Scheu","Anecic earthworms emLumbricus terrestris L. were kept in laboratory microcosms containing soil and litter from a lime (emTilia cordata) and beech (emFagus sylvatica) forest. Nutrient (mineral nitrogen and phosphorus) contents, microbial activity and densities of protozoa and nematodes were determined in burrow walls and control soils after 165 days. Well-developed burrow linings consisting of earthworm faeces were formed in the “emTilia” treatment, but not in the “emFagus” treatment, presumably because beech litter was not an adequate food resource for emL. terrestris. Consequently, increases in microbial biomass, basal respiration and microbial volume in burrow walls compared to surrounding soil were significant in the “emTilia” treatment only. However, in both treatments burrow walls were strongly enriched in mineral nitrogen and phosphorus. The density and biomass of protozoa were significantly greater in burrow walls compared to the control soil. The numbers of naked amoebae increased by similar factors of 4 and 3.5 in burrow walls of the “emTilia” and “emFagus” treatment, respectively. Flagellate density increased more than tenfold in burrow walls of the “emTilia” treatment but only twofold in the “emFagus” treatment. In addition, a comparatively large ciliate population was present in burrow walls in the “emTilia” treatment. The total abundance of protozoa was significantly correlated with the contents of inorganic N and P in the samples (emr = 0.68 and 0.63 respectively, P&lt; 0.03) suggesting that protozoan grazing participated in the mobilisation of nutrients from microbial biomass. The total nematode density was increased in burrow walls by a factor of 3 in the “emTilia” treatment (mostly due to bacterivorous nematodes), but was not affected in the “emFagus” treatment. In both treatments density of fungivorous nematodes increased, while that of plant parasites decreased in burrow walls compared to the control soil. It is concluded that the grazing pressure of protozoa and nematodes may control the dynamics of the microbial succession in earthworm burrow walls, strongly affecting nutrient cycling processes in these microhabitats.","Pedobiologia","en",2000,"Aug","Russia","Germany","10.1078/0031-4056-00067","http://dx.doi.org/10.1078/0031-4056-00067","10.1002/ecy.2936","Russia / Germany","Moscou / Göttingen","Soil microflora ; nutrient mineralization ; nematodes ; Protozoa ; anecic ; earthworms ; Lumbricus terrestris ; drilosphere","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"31","The unseen invaders: introduced earthworms as drivers of change in plant communities in North American forests (a meta-analysis).","Dylan Craven","Nico Eisenhauer","Abstract: Globally, biological invasions can have strong impacts on biodiversity as well as ecosystem functioning. While less conspicuous than introduced aboveground organisms, introduced belowground organisms may have similarly strong effects. Here, we synthesize for the first time the impacts of introduced earthworms on plant diversity and community composition in North American forests. We conducted a meta‐analysis using a total of 645 observations to quantify mean effect sizes of associations between introduced earthworm communities and plant diversity, cover of plant functional groups, and cover of native and non‐native plants. We found that plant diversity significantly declined with increasing richness of introduced earthworm ecological groups. While plant species richness or evenness did not change with earthworm invasion, our results indicate clear changes in plant community composition: cover of graminoids and non‐native plant species significantly increased, and cover of native plant species (of all functional groups) tended to decrease, with increasing earthworm biomass. Overall, these findings support the hypothesis that introduced earthworms facilitate particular plant species adapted to the abiotic conditions of earthworm‐invaded forests. Further, our study provides evidence that introduced earthworms are associated with declines in plant diversity in North American forests. Changing plant functional composition in these forests may have long‐lasting effects on ecosystem functioning.","Global Change Biology","en",2016,"Mar","Germany","Germany","10.1111/gcb.13446","http://dx.doi.org/10.1111/gcb.13446","10.1002/ecy.2936","North America (data)","forests ecosystems","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"32","Factors affecting earthworm abundance in soils.","C. A. Edwards","C. A. Edwards","Abstract: Earthworm populations show a considerable amount of variability in time and space, with mean population densities and biomass ranging from fewer than 10 individuals and 1 g m–2, respectively, to more than 1000 individuals and 200 g m–2, respectively, under favorable conditions. However, within particular climatic zones, earthworm assemblages, with fairly characteristic species richness, composition, abundance, and biomass, can often be recognized in broadly different habitat types, such as coniferous forests, deciduous woodland, grassland, and arable land. There is a considerable volume of literature describing the earthworm communities of such habitats, and much of this was summarized by Lee (1985) and updated by Edwards and Bohlen (1996). There is also a considerable amount of information describing the influence of various environmental and management factors on earthworm populations, but in comparison with insects, for which the population ecology of 92many species has been subjected to quantitative analysis, earthworm population ecology is still largely at a descriptive stage. Population modeling has been used for particular purposes such as risk assessment (Baveco and De Roos 1996), but development of realistic models of field populations has been hindered by a lack of information on key life history parameters and the factors that influence them.","Book : Earthworm ecology","en",2004,"Mar","England","England","10.1201/9781482285246-9","http://dx.doi.org/10.1201/9781482285246-9","10.1002/ecy.2936","Worldwide","Various","Earthworm Biology, Ecology, Behavior, and Physiology","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"33","Earthworm Ecology.","Mary Keen","Mary Keen","Abstract: Since the publication of the highly-successful first edition of Earthworm Ecology, there were two international symposia and an increased number of publications on the subject, demanding a revision of the book that addresses the most rapidly developing areas of earthworm research.Earthworm Ecology, Second Edition updates the most comprehensive work available on earthworm ecology with extensive revisions of the original chapters. This well-illustrated, expansive study examines the important, and often overlooked, impact earthworms have on the environment. It discusses the impact of climate, soil properties, predation, disease and parasitism, and competition upon earthworm ecology.New chapters analyze the history of earthworm research, the importance of earthworms as representatives of soil fauna and how they affect plant growth, the effects of the invasion of exotic earthworms into North America and other regions, and vermiculture and vermicomposting in Europe and Asia. This new material makes this volume an essential reference work for soil scientists, agronomists, and others with a great interest in earthworms.","Book: Biopharmaceutics and drug disposition ","en",1991,"May","England","England","10.1002/bdd.2510120409","http://dx.doi.org/10.1002/bdd.2510120409","10.1002/ecy.2936","Not found","Not found","neurotransmitter receptors ; cellular pharmacology ; behavioural  pharmacology ; drug metabolism ; pharmacometrics ; autonomic pharmacology","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"34","The action of an animal ecosystem engineer: Identification of the main mechanisms of earthworm impacts on soil microarthropods. ","Nico Eisenhauer","Nico Eisenhauer","Abstract: pNon-trophic interactions are shaping soil food web structure and functions. Particularly, the action of ecosystem engineers, such as earthworms, are likely to fundamentally impact the abiotic and biotic properties of their environment. The present study aimed to identify the main mechanisms through which earthworms belonging to varying ecological groups – epigeic, endogeic and anecic species – affect soil microarthropods by reviewing the literature on this topic and by performing meta-analyses./ppEarthworm ecological groups differed considerably in their impacts on microarthropods, whereas effects did not vary significantly between microarthropod taxa at the habitat scale. Inconsistent impacts of epigeic species on soil microarthropods are most likely due to differences in earthworm densities. Effects can thus be positive in the case of moderate densities or negative in the case of high densities and associated distinct changes in the physical structure of the upper soil organic layers. By contrast, impacts of endogeic earthworms appeared to be mainly negative and were primarily due to competition with microarthropods for food resources. Consequently, negative impacts on soil microarthropods intensified with increasing earthworm density and biomass. This interaction between endogeic earthworms and microarthropods is better referred to as amensalism due to the competitive predominance of earthworms. Impacts of anecic earthworm species differed significantly from that of endogeic ones; they were neutral at the habitat scale and positive on the microhabitat scale. Moreover, impacts were independent of earthworm densities due to the quasi-territorial behaviour of anecic earthworms. Positive effects were mainly attributed to the formation of stable microhabitats by anecic species; namely burrows/middens, rich in nutrients and microorganisms./ppThe present study points to the relevance of the non-trophic biotic interactions that drive the composition of belowground food webs by identifying the most essential mechanisms underlying the impacts of animal ecosystem engineers on soil microarthropods. Moreover, as earthworms emerge as important biological invaders, the results of the present study may help to fully appreciate, estimate and model the consequences of this momentous global change phenomenon. Particularly, the spread of exotic epigeic and endogeic earthworm species likely threatens soil microarthropod density, diversity and functions./p","Pedobiologia.","en",2010,"Apr","Germany","Germany","10.1016/j.pedobi.2010403"," https://doi.org/10.1016/j.pedobi.2010.04.003 ","10.1002/ecy.2936","Various","Forest ; grassland ; field","Anecic earthworms ; Earthworm invasion ; Endogeic earthworms ; Epigeic earthworms ; Non-trophic interactions","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"35","Invasion of a deciduous forest by earthworms: Changes in soil chemistry, microflora, microarthropods and vegetation.","Nico Eisenhauer","Stefan Scheu","Abstract: Ecosystems of northern North America existed without earthworm fauna until European settlers arrived and introduced European species. The current extent of invasion by some of these species, emLumbricus terrestris L., emOctolasion tyrtaeum Savigny and emDendrobaena octaedra Savigny, into an aspen forest in the Canadian Rocky Mountains and the effects of the invasion on soil chemistry, microflora, soil microarthropods and vegetation were investigated. Densities of earthworm species, soil structure, plant coverage and abundance were determined along three transects starting at the edge of the forest. At locations with emL. terrestris, litter was incorporated into the soil, and where emO. tyrtaeum was present, organic layers were mixed with mineral soil layers. Organic layers disappeared almost entirely when both species occurred together. Carbon and nitrogen concentrations were reduced in organic layers in the presence of emL. terrestris and emO. tyrtaeum. Microbial biomass and basal respiration were reduced when emL. terrestris and emO. tyrtaeum were present, presumably due to resource competition and habitat destruction. Microarthropod densities and the number of microarthropod species were strongly reduced in the presence of emO. tyrtaeum (−75% and −22%, respectively), probably through mechanical disturbances, increasing compactness of the soil and resource competition. The coverage of some plant species was correlated with earthworm abundance, but the coverage of others was not. Despite harsh climatic conditions, the invasion of boreal forest ecosystems by mineral soil dwelling earthworm species is proceeding and strongly impacts soil structure, soil chemistry, microorganisms, soil microarthropods and vegetation.","Soil Biology and Biochemistry","en",2007,"Jan","Germany","Germany","10.1016/j.soilbio.2006.1219","https://doi.org/10.1016/j.soilbio.2006.12.019 ","10.1002/ecy.2936","Canada","Kananaskis Valley, Canadian Rocky Mountains, Alberta","Ecological invasion Microbial community Mesofauna","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"36","Ecosystem responses to exotic earthworm invasion in northern North American forests.","Nico Eisenhauer","Malte Jochum","Abstract: Earth is experiencing a substantial loss of biodiversity at the global scale, while both species gains and losses are occurring at local and regional scales. The influence of these nonrandom changes in species distributions could profoundly affect the functioning of ecosystems and the essential services that they provide. However, few experimental tests have been conducted examining the influence of species invasions on ecosystem functioning. Even fewer have been conducted using invasive ecosystem engineers, which can have disproportionately strong influence on native ecosystems relative to their own biomass. The invasion of exotic earthworms is a prime example of an ecosystem engineer that is influencing many ecosystems around the world. In particular, European earthworm invasions of northern North American forests cause simultaneous species gains and losses with significant consequences for essential ecosystem processes like nutrient cycling and crucial services to humanity like soil erosion control and carbon sequestration. Exotic earthworms are expected to select for specific traits in communities of soil microorganisms (fast-growing bacteria species), soil fauna (promoting the bacterial energy channel), and plants (graminoids) through direct and indirect effects. This will accelerate some ecosystem processes and decelerate others, fundamentally altering how invaded forests function. This project aims to investigate ecosystem responses of northern North American forests to earthworm invasion. Using a novel, synthetic combination of field observations, field experiments, lab experiments, and meta-analyses, the proposed work will be the first systematic examination of earthworm effects on (1) plant communities and (2) soil food webs and processes. Further, (3) effects of a changing climate (warming and reduced summer precipitation) on earthworm performance will be investigated in a unique field experiment designed to predict the future spread and consequences of earthworm invasion in North America. By assessing the soil chemical and physical properties as well as the taxonomic (e.g., by the latest next-generation sequencing techniques) and functional composition of plant, soil microbial and animal communities and the processes they drive in four forests, work packages I-III take complementary approaches to derive a comprehensive and generalizable picture of how ecosystems change in response to earthworm invasion. Finally, in work package IV, meta-analyses will be used to integrate the information from work packages I-III and existing literature to investigate if earthworms cause invasion waves, invasion meltdowns, habitat homogenization, and ecosystem state shifts. Global data will be synthesized to test if the relative magnitude of effects differs from place to place depending on the functional dissimilarity between native soil fauna and exotic earthworms. Moving from local to global scale, the present proposal examines the influence of earthworm invasions on biodiversity–ecosystem functioning relationships from an aboveground–belowground perspective in natural settings. This approach is highly innovative as it utilizes the invasion by exotic earthworms as an exciting model system that links invasion biology with trait-based community ecology, global change research, and ecosystem ecology, pioneering a new generation of biodiversity–ecosystem functioning research.","European project Ecoworm","en",2016,"Jan","Germany","Germany","10.3030/677232","http://dx.doi.org/10.3030/677232","10.1002/ecy.2936","USA","Northen American forest","Not found","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"37","Earthworm effects on the incorporation of litter C and N into soil organic matter in a sugar maple forest.","Timothy J. Fahey","Patrick J. Bohlen","Abstact: To examine the mechanisms of earthworm effects on forest soil C and N, we double‐labeled leaf litter with 13C and 15N, applied it to sugar maple forest plots with and without earthworms, and traced isotopes into soil pools. The experimental design included forest plots with different earthworm community composition (dominated by Lumbricus terrestris or L. rubellus). Soil carbon pools were 37% lower in earthworm‐invaded plots largely because of the elimination of the forest floor horizons, and mineral soil C:N was lower in earthworm plots despite the mixing of high C:N organic matter into soil by earthworms. Litter disappearance over the first winter–spring was highest in the L. terrestris (T) plots, but during the warm season, rapid loss of litter was observed in both L. rubellus (R) and T plots. After two years, 22% ± 5.4% of 13C released from litter was recovered in soil with no significant differences among plots. Total recovery of added 13C (decaying litter plus soil) was much higher in no‐worm (NW) plots (61–68%) than in R and T plots (20–29%) as much of the litter remained in the former whereas it had disappeared in the latter. Much higher percentage recovery of 15N than 13C was observed, with significantly lower values for T than R and NW plots. Higher overwinter earthworm activity in T plots contributed to lower soil N recovery. In earthworm‐invaded plots isotope enrichment was highest in macroaggregates and microaggregates whereas in NW plots silt plus clay fractions were most enriched. The net effect of litter mixing and priming of recalcitrant soil organic matter (SOM), stabilization of SOM in soil aggregates, and alteration of the soil microbial community by earthworm activity results in loss of SOM and lowering of the C:N ratio. We suggest that earthworm stoichiometry plays a fundamental role in regulating C and N dynamics of forest SOM.","Ecology, ecological applications","en",2013,"Jul","USA","USA","10.1890/12-1760.1","http://dx.doi.org/10.1890/12-1760.1","10.1002/ecy.2936","USA","New York state","aggregate     C:N ratio     decomposition     litter     Lumbricus     stoichiometry  ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"38","Carbon food resources of earthworms of different ecological groups as indicated by 13C compound-specific stable isotope analysis.","Olga Ferlian","Stefan Scheu","Abstract : One of the challenges in soil ecology is to determine which organisms utilise stable forms of carbon in soil. Recent studies have indicated that endogeic earthworms are able to mobilise such stable carbon compounds. However, it remains unclear which particular compounds of stabilised carbon in soil are utilised by earthworms. Furthermore, current knowledge on ecological groups and food resources of earthworms is mainly based on direct observations, hence only reflecting what was ingested but not what was actually assimilated. We analysed seven earthworm species in beech and spruce forests and the associated litter, earthworm middens and soils, and employed compound-specific stable isotope analysis of fatty acids (FAs) to identify the origins of carbon resources of the earthworms. To relate food resources to carbon compounds of different stability, we analysed δ13C signatures of FAs of different particle size fractions. FA δ13C profiles of epigeic and endogeic earthworm species indicated assimilation of recently-fixed and recalcitrant carbon resources, respectively, whereas anecic earthworms assimilated a mixture of resources of different stability. Utilisation of carbon resources did not differ between beech and spruce forests. Endogeic species were associated with neutral lipids of soil particle size fractions with δ13C signatures of the bacterial marker a15:0 in earthworms resembling those of the clay fraction. This suggests that they assimilated carbon associated with small particle size fractions attached to clay–humus complexes. The results showed that earthworms of different ecological groups utilise carbon pools of different origin and stability. As indicated by neutral lipids of bacterial origin, physically-stabilised organic matter appears to contribute to the nutrition of endogeic earthworms in forest systems.","Soil Biology and Biochemistry","en",2014,"June","Germany","Germany","10.1016/j.soilbio.2014602","https://doi.org/10.1016/j.soilbio.2014.06.002","10.1002/ecy.2936","Germany","Hainich, Thuringia","Clay Endogeic Fatty acids Soil organic matter Soil particle size fractions Stable carbon pools","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"39","Invasive earthworms erode soil biodiversity: a meta-analysis.","Olga Ferlian","Madhav P. Thakur","Abstract: Biological invasions pose a serious threat to biodiversity and ecosystem functioning across ecosystems. Invasions by ecosystem engineers, in particular, have been shown to have dramatic effects in recipient ecosystems. For instance, invasion by earthworms, a below‐ground invertebrate ecosystem engineer, in previously earthworm‐free ecosystems alters the physico‐chemical characteristics of the soil. Studies have shown that such alterations in the soil can have far‐reaching impacts on soil organisms, which form a major portion of terrestrial biodiversity.Here, we present the first quantitative synthesis of earthworm invasion effects on soil micro‐organisms and soil invertebrates based on 430 observations from 30 independent studies.Our meta‐analysis shows a significant decline of the diversity and density of soil invertebrates in response to earthworm invasion with anecic and endogeic earthworms causing the strongest effects. Earthworm invasion effects on soil micro‐organisms were context‐dependent, such as depending on functional group richness of invasive earthworms and soil depth. Microbial biomass and diversity increased in mineral soil layers, with a weak negative effect in organic soil layers, indicating that the mixing of soil layers by earthworms (bioturbation) may homogenize microbial communities across soil layers.Our meta‐analysis provides a compelling evidence for negative effects of a common invasive below‐ground ecosystem engineer on below‐ground biodiversity of recipient ecosystems, which could potentially alter the ecosystem functions and services linked to soil biota.","Journal of animal ecology","en",2017,"Aug","Germany","Germany","10.1111/1365-2656.12746","https://doi.org/10.1111/1365-2656.12746 ","10.1002/ecy.2936","Various (meta-analysis)","Various","biodiversity change     biological invasion     ecosystem engineer     soil invertebrates     soil micro-organisms  ","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
"40","Linking direct and indirect pathways mediating earthworms, deer, and understory composition in Great Lakes forests.","Nicholas A. Fisichelli","Nico Eisenhauer","Abstract: Ahistorical drivers such as nonnative invasive earthworms and high deer densities can have substantial impacts on ecosystem processes and plant community composition in temperate and boreal forests of North America. To assess the roles of earthworm disturbance, deer, and environmental factors in the understory, we sampled 125 mixed temperate-boreal forest sites across the western Great Lakes region. We utilized structural equation modeling (SEM) to address the hypothesis that earthworm disturbance to the upper soil horizons and selective herbivory by deer are associated with depauperate understory plant communities dominated by graminoid and nonnative species. Evidence of earthworm activity was found at of our sites and had high to very high severity earthworm disturbance. The SEM fit the data well and indicated that widespread nonnative earthworm disturbance and high deer densities had similar magnitudes of impact on understory plant communities and that these impacts were partially mediated by environmental characteristics. One-third of the variation in earthworm disturbance was explained by soil pH, precipitation, and litter quality. Deer density and earthworm disturbance both increased graminoid cover while environmental variables showed direct and indirect relationships. For example, the positive relationship between temperature and graminoids was indirect through a positive temperature effect on deer density. This research characterizes an integrated set of key environmental variables driving earthworm disturbance and deer impacts on the forest understory, facilitating predictions of the locations and severity of future change in northern temperate and boreal forest ecosystems.","Biological Invasions","en",2012,"Dec","Germany","Germany","10.1007/s10530-012-0350-6","http://dx.doi.org/10.1007/s10530-012-0350-6","10.1002/ecy.2936","USA","Minnesota, Wisconsin, and Michigan","Carex pensylvanica     Climate     Deer browsing     Earthworm invasion     Forest soils     Graminoid cover     Invasive plants     Understory plant community","ammonium; earthworm ecological group; element flux; exotic earthworms; nitrate; nitrification; nitrogen; nutrient cycling; pH; phosphorus; soil carbon; water content. "
